Título,Tematica,Provincia,Fecha de publicación,Descripción,ProvinciaAlternativa,FuenteContenido,LocalidadAsset,DocumentosAsociados,Identificador,ultimaActualizacion,Enlace al contenido,
"Vendedor Puertas Cuellar","Empleo","Valladolid","20161018","<p>Puertas Cuellar. Precisa contratar <strong>vendedor </strong>para sus tiendas en Valladolid. Imprescindible experiencia en el sector.<br />
<strong>Llamar al 615215290</strong></p>
<p>Información procedente de : <strong>""El Norte de Castilla ""</strong></p>
<p><strong>Nota: </strong><em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em><br />
<br />
<em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Valladolid",,1284659402660,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659402660/Empleo",
"Monitor natación","Empleo","Burgos","20161018","<p>Se precisa <strong>monitor de natación</strong> con título de socorrista.<br />
<strong>Currículum a monitoresburgos@gmail.com</strong></p>
<p>Información procedente de:<strong> El Periódico ""El Correo de Burgos""</strong></p>
<p></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Burgos",,1284659395478,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659395478/Empleo",
"Camarera y cocinera","Empleo","Burgos","20161018","Precisamos <strong>camarera y cocinera</strong>.<br />
Interesados enviar currículum a<strong> tribunomesala@msn.com</strong>
<p>Información procedente de:<strong> El Periódico ""El Correo de Burgos""</strong></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Burgos",,1284659394799,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659394799/Empleo",
"Camarero","Empleo","Burgos","20161018","<p>Se precisa <strong>camarero </strong>con experiencia para restaurante céntrico.<br />
Teléfono de contacto: <strong>947257474</strong></p>
<p>Información procedente de:<strong> El Periódico ""El Correo de Burgos""</strong></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Burgos",,1284659394303,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659394303/Empleo",
"Cocinera","Empleo","Burgos","20161018","<p><strong>Camarera/o</strong> con experiencia para fines de semana.<br />
<strong>Enviar currículum con fotografía reciente a ofertashosteleriaburgos@gmail.com</strong></p>
<p>Información procedente de:<strong> El Periódico ""El Diario de Burgos""</strong></p>
<p></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Burgos",,1284659386803,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659386803/Empleo",
"Personal quipo trabajo vertical","Empleo","Burgos","20161018","<p>Se busca <strong>personal para equipo de trabajo vertica</strong>l en Burgos y alrededores.<br />
<strong>Interesados llamar al 640.586.219 para concertar cita para entrevista previo envío de currículum a trabajoverticalburgos@gmail.com</strong></p>
<p>Información procedente de:<strong> El Periódico ""El Correo de Burgos""</strong></p>
<p></p>
<p> Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Burgos",,1284659385431,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659385431/Empleo",
"Profesional peluquero/a","Empleo","León","20161018","<p>Se necesita <strong>profesional peluquero/a</strong> con experiencia en colorimetría, corte caballero, señora.<br />
Teléfono: <strong>987250155</strong></p>
<p>Información procedente de: El Periódico <strong>"" La Nueva Crónica ""</strong></p>
<p><strong>Nota:</strong> <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","León",,1284659380526,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659380526/Empleo",
"Persona dar clases","Empleo","León","20161018","Necesito <strong>persona para dar clases a niño de 10 años</strong>, de todo, mates, lengua, incluyendo inglés.<br />
<strong>Teléfono : 669 461 728</strong>
<p>Información procedente de: El Periódico <strong>"" La Nueva Crónica ""</strong></p>
<p></p>
<p>Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><br />
<em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","León",,1284659364232,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659364232/Empleo",
"Señora Limpieza","Empleo","León","20161018","<p>Necesito <strong>señora limpieza</strong>, cocina 2 horas semanas, pago 5 euros hora.<br />
<strong>Teléfono : 660 909 697</strong></p>
<p>Información procedente de: El Periódico <strong>"" La Nueva Crónica ""</strong></p>
<p>Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><br />
<em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","León",,1284659361465,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659361465/Empleo",
"Ayudante camarero/a","Empleo","León","20161018","<p>Se precisan <strong>ayudantes de camarer@</strong> con experiencia para fines y diario,<br />
Entregar currículum en <strong>Las Tapas, calle del Cid, 19</strong></p>
<p> Información procedente de: El Periódico <strong>"" La Nueva Crónica ""</strong></p>
<p>Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><br />
<em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","León",,1284659357990,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659357990/Empleo",
"Peluquera canina","Empleo","León","20161018","<p>Se necesita <strong>peluquera canina</strong>, con experiencia demostrable. Se ofrece trabajo fijo, incorporación inmediata.<br />
Entregar currículum vitae en <strong>Lavacan León calle Maestro Nicolás, 21, bajo, León</strong></p>
<p> Información procedente de: El Periódico <strong>""La Nueva Crónica ""</strong></p>
<p>Nota: <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><br />
<em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","León",,1284659356718,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659356718/Empleo",
"Comercial","Empleo","León","20161018","<p>Buscamos <strong>comercial </strong>auto-venta sector alimentación.<br />
<strong>Enviar currículum a i.c.elbernesga@hotmail.com</strong></p>
<p></p>
<p>Información procedente de: El Periódico <strong>""El Diario de León ""</strong></p>
<p><strong>Nota:</strong> <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","León",,1284659352461,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659352461/Empleo",
"Cocinera","Empleo","León","20161018","<p>Necesito <strong>cocinera </strong>con experiencia mesón cerca Ponferrada, interna.<br />
<strong>Teléfono : 699 870 982</strong></p>
<p>Información procedente de: El Periódico <strong>""El Diario de León ""</strong></p>
<p><strong>Nota:</strong> <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","León",,1284659348327,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659348327/Empleo",
"Camarera/o","Empleo","León","20161018","<p>Cafetería Rober necesita <strong>camarera/o</strong> León.<br />
<strong>Teléfono : 660 043 168</strong></p>
<p>Información procedente de: El Periódico <strong>""El Diario de León ""</strong></p>
<p><strong>Nota:</strong> <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","León",,1284659346919,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659346919/Empleo",
"Chica/o limpieza","Empleo","León","20161018","<p>Urge <strong>chica/o para limpiezas</strong> de cocina en restaurante, zona Bierzo.<br />
<strong>Teléfono: 699 603 741 partir 4 tarde</strong></p>
<p>Información procedente de: El Periódico <strong>""El Diario de León ""</strong></p>
<p><strong>Nota:</strong> <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","León",,1284659343468,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659343468/Empleo",
"Dependiente/a","Empleo","León","20161018","<p>Necesito dependiete/a.<br />
<strong>Interesados enviar currículum: curriculumleon@hotmail.com</strong></p>
<p>Información procedente de: El Periódico <strong>""El Diario de León ""</strong></p>
<p><strong>Nota:</strong> <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","León",,1284659341052,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659341052/Empleo",
"Vendedor","Empleo","León","20161018","<p>Distribuidor de pinturas Titan y Barpimo solicita <strong>vendedor</strong> para León y provincia. Reserva a colocados, <strong>sevecalzado@gmail.com o llamar a 615228151 987212202</strong></p>
<p>Información procedente de: El Periódico <strong>""El Diario de León ""</strong></p>
<p><strong>Nota:</strong> <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","León",,1284659340118,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659340118/Empleo",
"Camarera/o","Empleo","León","20161018","<p>Bar La Pole necesita<strong> camarera/o</strong> tardes noches.<br />
<strong>Dejar currículum en calle Jaime Balmes, 6</strong></p>
<p>Información procedente de: El Periódico <strong>""El Diario de León ""</strong></p>
<p><strong>Nota:</strong> <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","León",,1284659338237,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659338237/Empleo",
"Personal hosteleria","Empleo","León","20161018","<p>Necesito <strong>personal hostelería.<br />
Teléfono : 669349214 de 9-1 tarde</strong></p>
<p>Información procedente de: El Periódico <strong>""El Diario de León ""</strong></p>
<p><strong>Nota:</strong> <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","León",,1284659336191,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659336191/Empleo",
"Cantante","Empleo","León","20161018","<p>Grupo Radar necesita <strong>cantante femenina</strong>.<br />
<strong>Teléfono 691839911</strong></p>
<p>Información procedente de: El Periódico <strong>""El Diario de León ""</strong></p>
<p><strong>Nota:</strong> <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","León",,1284659335534,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659335534/Empleo",
"Comerciales","Empleo","León","20161018","<p>Busco <strong>comerciales</strong> a tiempo parcial o completo.<br />
<strong>Solicitar entrevista : 679 440 967</strong></p>
<p></p>
<p>Información procedente de: El Periódico <strong>"" El Diario de León ""</strong></p>
<p><strong>Nota:</strong> <em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","León",,1284659332938,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659332938/Empleo",
"Camarera","Empleo","Salamanca","20161018","<p>Se necesita <strong>camarera</strong> entre 18 y 25 años. Abstenerse estudiantes. Informes .<br />
<strong>Teléfono: 691 316 643</strong></p>
<p></p>
<p>Información procedente de : "" <strong>La Gaceta de Salamanca ""</strong></p>
<p></p>
<p><strong>Nota:</strong> La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</p>
<p>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</p>
<p></p>
<p></p>",,"Internet / Prensa","Salamanca",,1284659330974,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659330974/Empleo",
"Cociniero","Empleo","Salamanca","20161018","<p>Se necesita cocinero con experiencia.<br />
<strong>Teléfono : 627 493 208</strong></p>
<p></p>
<p>Información procedente de : "" <strong>La Gaceta de Salamanca ""</strong></p>
<p></p>
<p><strong>Nota:</strong> La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</p>
<p>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</p>
<p></p>
<p></p>",,"Internet / Prensa","Salamanca",,1284659330337,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659330337/Empleo",
"Personal empresa electricidad","Empleo","Soria","20161018","<p>SE NECESITA<strong> personal para empresa de ELECTRICIDAD</strong> en Soria.<br />
<strong>Teléfono. 645 546 105.</strong></p>
<p>Información procedente de: <strong>El periódico ""El Diario de Soria""</strong></p>
<p> <strong>Nota:</strong> <em>La oferta de empleo que usted esta consult</em><em>ado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Soria",,1284659326274,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659326274/Empleo",
"Maitre","Empleo","Palencia","20161018","<p>Se necesita <strong>maitre</strong> para restaurante.<br />
<strong>Teléfono : 640 215 598</strong></p>
<p>Información procedente de: <strong>""El Norte de Castilla "".</strong></p>
<p><strong>Nota:</strong> La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</p>
<p>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</p>",,"Internet / Prensa","Palencia",,1284659321617,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659321617/Empleo",
"Jefe de Cocina","Empleo","Palencia","20161018","<p><strong>Jefe de cocina</strong> se necesita para restaurante, buen sueldo<br />
<strong>Teléfono : 640 215 598</strong></p>
<p>Información procedente de: <strong>""El Norte de Castilla "".</strong></p>
<p><strong>Nota:</strong> La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</p>
<p>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</p>",,"Internet / Prensa","Palencia",,1284659320923,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659320923/Empleo",
"Conductor trailer","Empleo","Palencia","20161018","<p>Por ampliación de flotas se necesita<strong> conductor</strong> para tráiler ámbito nacional, con experiencia y ADR<br />
<strong>Teléfono : 610 477 235.</strong></p>
<p>Información procedente de: <strong>""El Norte de Castilla "".</strong></p>
<p><strong>Nota:</strong> La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</p>
<p>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</p>",,"Internet / Prensa","Palencia",,1284659317717,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659317717/Empleo",
"Responsable área alimentación","Empleo","Soria","20161018","<p>SORIA NATURAL PRECISA <strong>RESPONSABLE ÁREA ALIMENTACIÓN</strong>:<br />
Licenciatura en ciencia y tecnología de los alimentos o similar.<br />
Valorable master en seguridad alimentaria o similar (ISF.BRC)<br />
Imprescindible experiencia en industria alimentaria.<br />
Valorable experiencia en implantación y gestión de sistemas productivos.<br />
Experiencia en manejo de equipos humanos.<br />
Residencia en Soria.<br />
<strong>INTERESADOS ENVIAR CURRICULUM VITAE&rdquo, ADJUNTANDO FOTOGRAFÍA A: rrhhpersonal@sorianatural.es. Ref. RALIM.</strong></p>
<p>Información procedente de: <strong>El periódico ""El Diario de Soria""</strong></p>
<p> <strong>Nota:</strong> <em>La oferta de empleo que usted esta consult</em><em>ado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Soria",,1284659269773,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659269773/Empleo",
"Chica para acompañar señora","Empleo","Soria","20161018","<p>NECESITO <strong>CHICA para acompañar a señora </strong>y tareas del hogar.<br />
<strong>Teléfono 620 598 080.</strong></p>
<p></p>
<p>Información procedente de: <strong>El periódico ""El Diario de Soria""</strong></p>
<p> <strong>Nota:</strong> <em>La oferta de empleo que usted esta consult</em><em>ado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Soria",,1284659266348,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659266348/Empleo",
"Mecánico Agricola o Industrial","Empleo","Soria","20161018","SE NECESITA <strong>MECANICO AGRICOLA O INDUSTRIAL</strong>, de experiencia. Se primará, experiencia en empaquetadoras y cosechadoras.<br />
<strong>Teléfono 610 42 66 51. Currículmum. cesar@garciamaquinaria.com</strong>
<p>Información procedente de: <strong>El periódico ""El Diario de Soria""</strong></p>
<p> <strong>Nota:</strong> <em>La oferta de empleo que usted esta consult</em><em>ado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Soria",,1284659265106,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659265106/Empleo",
"Comercial","Empleo","Soria","20161018","<p>COMERCIAL-RECAMBISTA, para sector maquinaria agrícola, imprescindible experiencia.<br />
Teléfono de Contacto: <strong>610426651</strong>. Curriculum a: <strong>cesar@garciamaquinaria.com</strong></p>
<p>Información procedente de: <strong>El periódico ""El Diario de Soria""</strong></p>
<p> <strong>Nota:</strong> <em>La oferta de empleo que usted esta consult</em><em>ado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Soria",,1284659262268,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659262268/Empleo",
"Fontanero","Empleo","Soria","20161018","<p>SE NECESITA: <strong>Fontanero </strong>con experiencia, imprescindible carnet de conducir.<br />
Teléfono de Contacto: <strong>687033628</strong>.</p>
<p>Información procedente de: <strong>El periódico ""El Diario de Soria""</strong></p>
<p> <strong>Nota:</strong> <em>La oferta de empleo que usted esta consult</em><em>ado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em></p>
<p><em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Soria",,1284659258499,20161018,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659258499/Empleo",
"FISIOTERAPEUTAS, EN GENERAL","Empleo","León","20161017","<p>Necesaria experiencia mínima de 24 meses y carné de conducir.
Puesto de trabajo en León y alrededores.
Interesados enviar C.v. a: coordinadora@grupoabedul.es y ecylramonycajal@jcyl.es. Ref.: 12634</p><p>Para más información acuda a <a href=""http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=185585"">Oficina Virtual</a></p>",,"ECYL",,,1284659124894,20161017,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659124894/Empleo",
"Conductor trailer","Empleo","Valladolid","20161017","<p>Por ampliación de flota se necesita <strong>conductor para tráile</strong>r ámbito nacional, con experiencia y ADR.<br />
<strong>Teléfono : 610477235</strong></p>
<p>Información procedente de : <strong>""El Norte de Castilla ""</strong></p>
<p><strong>Nota: </strong><em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em><br />
<br />
<em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Valladolid",,1284659121150,20161017,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659121150/Empleo",
"Personal Cocina","Empleo","Valladolid","20161017","<p><strong>Personal de cocina</strong> con experiencia Restaurante céntrico. Turno partido.<br />
<strong>Currículum a: puestodetrabajo14@gmail.com</strong></p>
<p>Información procedente de : <strong>""El Norte de Castilla ""</strong></p>
<p><strong>Nota: </strong><em>La oferta de empleo que usted esta consultado se trata de una oferta presentada en un periódico local y que nosotros hemos incluido en nuestra página web a modo meramente informativo.</em><br />
<br />
<em>Para obtener información sobre el anuncio publicado, deberá dirigirse a la empresa anunciante a través del teléfono, dirección postal o correo electrónico que le indican en el anuncio.</em></p>",,"Internet / Prensa","Valladolid",,1284659119024,20161017,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659119024/Empleo",
"Bolsa de Monitor/a Sociocultural en Ayto. de La Cistérniga (Valladolid)","Empleo","Valladolid","20161017","<p>Convoca: Ayuntamiento de La Cistérniga</p>
<p>Cuerpo: MONITOR/A SOCIOCULTURAL</p>
<p>Plazas: Bolsa de Empleo</p>
<p>Acceso: Baremo y entrevista personal</p>
<p>Titulación: Bachiller Superior y cursos relacionados con la especialidad</p>
<p>Plazo: 31 de octubre de 2016</p><p><strong>Información obtenida de: </strong>Empleo público. <a href=""http://cisterniga.sedelectronica.es"" target=""_blank"">http://cisterniga.sedelectronica.es</a></p><p><strong>Enlaces relacionados:</strong><ul><li><a href=""http://cisterniga.sedelectronica.es/info.0"" target=""_blank"">Consultar Bases</a></li></ul></p>",,"Organismo oficial",,,1284659118998,20161017,"http://www.empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/_/1284659118998/Empleo",
