tradename,busloc,jobstatusdesc,licencetypes,comdistnm
ALL WEST PARKING SERVICES,#14 2280 39 AV NE CALGARY,Renewal Licensed,WHOLESALER,NORTH AIRWAYS                           
ALL WEST REFINISHING,#7 4623 MANILLA RD SE CALGARY,Renewal Licensed,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),MANCHESTER INDUSTRIAL                   
ALLADIN AIR MANUFACTURING,1111 46 AV SE CALGARY,Renewal Licensed,MANUFACTURER,HIGHFIELD                               
ALLAN FORREST SALES,#10 4980 12A ST SE CALGARY,Renewal Licensed,WHOLESALER,HIGHFIELD                               
ALLANS FLOWERS,#7 5111 BOWNESS RD NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MONTGOMERY                              
ALLEGRO CAPPUCCINO (CGY-008),555 SADDLEDOME RI SE CALGARY,Pending Renewal,FOOD SERVICE - PREMISES (NO SEATING),BELTLINE                                
ALLEGRO HAIR DESIGN,#9 15 MILLRISE BV SW CALGARY,Renewal Licensed,PERSONAL SERVICE,MILLRISE                                
ALLEGRO HAIR DESIGN,#9 15 MILLRISE BV SW CALGARY,Renewal Licensed,PERSONAL SERVICE,MILLRISE                                
ALLEGRO MUSIC,#3149 150 MILLRISE BV SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MILLRISE                                
ALLEN & SONS AUTO RECYCLERS,9808 54 ST SE CALGARY,Renewal Licensed,"MOTOR VEHICLE DEALER - PREMISES, SALVAGE YARD/AUTO WRECKER",SECTION 23                              
ALLIANCE,#126 10707 25 ST NE CALGARY,Renewal Licensed,WHOLESALER,CALGARY INTERNATIONAL AIRPORT           
ALLIANCE COMMERCIAL CONSTRUCTION,4051 11 ST SE CALGARY,Renewal Licensed,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),HIGHFIELD                               
ALLIANCE DOOR PRODUCTS,6775 76 AV SE CALGARY,Renewal Licensed,WHOLESALER,GREAT PLAINS                            
ALLIANCE PLUMBING,1120F 44 AV SE CALGARY,Renewal Licensed,CONTRACTOR,HIGHFIELD                               
ALLIANCE RESTORATIONS,4051 11 ST SE CALGARY,Renewal Licensed,CONTRACTOR,HIGHFIELD                               
ALLIED CONTRACTORS,#26 7003 30 ST SE CALGARY,Renewal Licensed,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),FOOTHILLS                               
ALLIED CUSTOM SOLUTIONS,2801 18 ST NE CALGARY,Renewal Licensed,MANUFACTURER,SOUTH AIRWAYS                           
ALLIED INT'L/QUALITY MOVE MGMT CALGARY,#37 2355 52 AV SE CALGARY,Pending Renewal,WAREHOUSING,VALLEYFIELD                             
ALLIED MACHINING & CENTRIFUGE,8230 30 ST SE CALGARY,Renewal Licensed,MANUFACTURER,FOOTHILLS                               
ALLIED MACHINING & CENTRIFUGE,8224 30 ST SE CALGARY,Renewal Licensed,MANUFACTURER,FOOTHILLS                               
ALLIED METAL,#11 666 GODDARD AV NE CALGARY,Renewal Licensed,MANUFACTURER,SKYLINE WEST                            
ALLIED PROJECTS,7017 FARRELL RD SE CALGARY,Renewal Licensed,CONTRACTOR,FAIRVIEW INDUSTRIAL                     
ALLIED REINFORCING,#14 4063 74 AV SE CALGARY,Renewal Licensed,CONTRACTOR,FOOTHILLS                               
ALLIGATOR-PEAR,#205W 150 6 AV SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),DOWNTOWN COMMERCIAL CORE                
ALLMAKES AUTO REPAIRS,224 41 AV NE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),GREENVIEW INDUSTRIAL PARK               
ALLOY,220 42 AV SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",MANCHESTER INDUSTRIAL                   
ALLOY TRUCK EQUIPMENT,5715B 36 ST SE CALGARY,Renewal Licensed,"MANUFACTURER, MOTOR VEHICLE REPAIR AND SERVICE (1)",FOOTHILLS                               
ALLROC BUILDING PRODUCTS,7648 40 ST SE CALGARY,Renewal Licensed,WHOLESALER,FOOTHILLS                               
ALLRUSH BINDERY SOLUTIONS,#3 3500 19 ST NE CALGARY,Renewal Licensed,MANUFACTURER,NORTH AIRWAYS                           
ALLRUSH COPIES & PRINT,#3 3500 19 ST NE CALGARY,Renewal Licensed,MANUFACTURER,NORTH AIRWAYS                           
ALLSOLD.CA,514 42 AV SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES (MAIL ORDER), SECONDHAND DEALER",MANCHESTER INDUSTRIAL                   
ALLSPEC MECHANICAL,4120 15A ST SE CALGARY,Renewal Licensed,"AUTO BODY SHOP, MOTOR VEHICLE REPAIR AND SERVICE (1)",ALYTH/BONNYBROOK                        
ALLSTAR RESTORATION,1830 10 AV SW CALGARY,Renewal Licensed,"CLEANING SERVICE (COMMERCIAL & RESIDENTIAL), CONTRACTOR",SUNALTA                                 
ALLSTAR SHOW INDUSTRIES,6029 4 ST SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, WHOLESALER",MANCHESTER INDUSTRIAL                   
ALLSTREAM,6101 6 ST SE CALGARY,Renewal Licensed,WHOLESALER,MANCHESTER INDUSTRIAL                   
ALLTECH,#21 10551 50 ST SE CALGARY,Renewal Invoiced,WHOLESALER,EAST SHEPARD INDUSTRIAL                 
ALL-TEX SCREENPRINTING,6441 2 ST SE CALGARY,Renewal Licensed,MANUFACTURER,MANCHESTER INDUSTRIAL                   
ALLTRACK,4281 23 ST NE CALGARY,Renewal Licensed,"MANUFACTURER, WHOLESALER",NORTH AIRWAYS                           
ALLURE HAIR SALON & SPA,#212 11245 VALLEY RIDGE DR NW CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",VALLEY RIDGE                            
ALLURE HAIR STUDIO ,3407 20 ST SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",SOUTH CALGARY                           
ALLWALL,4339 14 ST NE CALGARY,Renewal Licensed,CONTRACTOR,MCCALL                                  
ALMADINA GROCERY,#3 5309 RUNDLEHORN DR NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",PINERIDGE                               
ALMY PLUMBING,#I 8616 44 ST SE CALGARY,Renewal Licensed,CONTRACTOR,SOUTH FOOTHILLS                         
AL-NOOR MEAT AND GROCERY STORE,#810 5075 FALCONRIDGE BV NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",WESTWINDS                               
ALOFT CALGARY UNIVERSITY,2359 BANFF TR NW CALGARY,Renewal Licensed,"AMUSEMENT ARCADE, ENTERTAINMENT ESTABLISHMENT, PERSONAL SERVICE, HOTEL/MOTEL, ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING), BODY RUB CENTRE (GRANDFATHERED MASSAGE CENTRE COMMERCIAL)",BANFF TRAIL                             
ALOHA MIND MATH CANADA,#110 280 MIDPARK WY SE CALGARY,Licensed,SCHOOL (PROV. NOT REQUIRED),MIDNAPORE                               
ALOMAR BUILDING PRODUCTS,7107 FAIRMOUNT DR SE CALGARY,Expired,"RETAIL DEALER - PREMISES, WHOLESALER",FAIRVIEW INDUSTRIAL                     
ALONG CAME QUILTING,6432 1A ST SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, WHOLESALER",MANCHESTER INDUSTRIAL                   
ALPEK MACHINE WORKS,7800F 30 ST SE CALGARY,Renewal Licensed,MANUFACTURER,FOOTHILLS                               
ALPHA AUTO WORKS,4504 14 ST NE CALGARY,Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),MCCALL                                  
ALPHA BAR & RESTAURANT,3717 17 AV SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",FOREST LAWN                             
ALPHA BETTER LANDSCAPING,11800 40 ST SE CALGARY,Renewal Licensed,CONTRACTOR,EAST SHEPARD INDUSTRIAL                 
ALPHA COMICS,#9 7005 18 ST SE CALGARY,Pending Renewal,RETAIL DEALER - PREMISES,OGDEN                                   
ALPHADIGITAL PRINTING & GRAPHICS,#100 104 58 AV SE CALGARY,Renewal Licensed,MANUFACTURER,MANCHESTER INDUSTRIAL                   
ALPINE AUTOWERKS,#3 2421 CENTRE AV SE CALGARY,Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),MAYLAND                                 
ALPINE BUILDING,635 6 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,DOWNTOWN COMMERCIAL CORE                
ALPINE BUILDING MAINTENANCE,#6 1220 59 AV SE CALGARY,Licensed,CLEANING SERVICE (COMMERCIAL ONLY),BURNS INDUSTRIAL                        
ALPINE CATERING,3513D 78 AV SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES,FOOTHILLS                               
ALPINE COMPUTER SOLUTIONS,#3 4045 74 AV SE CALGARY,Renewal Licensed,DISTRIBUTION MANAGER,FOOTHILLS                               
ALPINE DRYWALL,315B 39 AV SE CALGARY,Renewal Licensed,CONTRACTOR,MANCHESTER INDUSTRIAL                   
ALPINE GAS AND SUPPLIES,#110 5842 86 AV SE CALGARY,Licensed,"RETAIL DEALER - PREMISES, WHOLESALER",SECTION 23                              
ALPINE GLASS,2288 18 AV NE CALGARY,Renewal Licensed,"MANUFACTURER, CONTRACTOR",SOUTH AIRWAYS                           
ALPINE PLASTICS LIMITED (1977),#3 4335 116 AV SE CALGARY,Renewal Licensed,MANUFACTURER,EAST SHEPARD INDUSTRIAL                 
ALPINE SAUSAGE,#23 3919 RICHMOND RD SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),GLAMORGAN                               
ALPINE SHOE SERVICE,1225A KENSINGTON RD NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,HILLHURST                               
ALPINE TRAILER SERVICES,6216 90 AV SE CALGARY,Renewal Licensed,"MANUFACTURER, MOTOR VEHICLE REPAIR AND SERVICE (1)",SECTION 23                              
ALPINE UPHOLSTERY PLUS (1997),#1 625 77 AV SE CALGARY,Pending Renewal,"FURNITURE REFINISHING, MOTOR VEHICLE REPAIR AND SERVICE (1)",FAIRVIEW INDUSTRIAL                     
ALREVAR CONSTRUCTION,#6 3601 19 ST NE CALGARY,Renewal Licensed,CONTRACTOR,NORTH AIRWAYS                           
AL'S CHOP SHOP BARBER SHOP,5251 COUNTRY HILLS BV NW CALGARY,Renewal Licensed,PERSONAL SERVICE,EDGEMONT                                
AL'S COMPLIANCE SERVICES,#1 3916 64 AV SE CALGARY,Renewal Licensed,"SCHOOL (PROV. NOT REQUIRED), MANUFACTURER",FOOTHILLS                               
AL'S PIZZA,#4 735 RANCHLANDS BV NW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",RANCHLANDS                              
ALSA ROAD CONSTRUCTION,308 53 AV SE CALGARY,Renewal Licensed,CONTRACTOR,MANCHESTER INDUSTRIAL                   
ALSAMIRS LITTLE INDIA,#746 5075 FALCONRIDGE BV NE CALGARY,Pending Renewal,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",WESTWINDS                               
ALSCO CANADA,4080 OGDEN RD SE CALGARY,Renewal Licensed,"FABRIC CLEANING, WHOLESALER",ALYTH/BONNYBROOK                        
ALSTEN HVAC SERVICES,7407 44 ST SE CALGARY,Pending Renewal,CONTRACTOR,FOOTHILLS                               
ALSTOM POWER CANADA,#3500 525 8 AV SW CALGARY,Licensed,WHOLESALER,DOWNTOWN COMMERCIAL CORE                
ALSTON MANOR,532 17 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BELTLINE                                
ALTA APARTMENTS,2128 33 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),RICHMOND                                
ALTA HOME,#300 160 QUARRY PARK BV SE CALGARY,Pending Renewal,CONTRACTOR,DOUGLASDALE/GLEN                        
ALTA INTERIOR CONTRACTING SERVICES,4021 4 ST SE CALGARY,Renewal Licensed,CONTRACTOR,MANCHESTER INDUSTRIAL                   
ALTA MODA,#220 932 17 AV SW CALGARY,Renewal Licensed,PERSONAL SERVICE,BELTLINE                                
ALTAC MECHANICAL,#3 4415 64 AV SE CALGARY,Licensed,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),FOOTHILLS                               
ALTACON HOLDINGS,#113 2060 PEGASUS RD NE CALGARY,Renewal Licensed,"WHOLESALER, CONTRACTOR",PEGASUS                                 
ALTADORE GYMNASTIC,#101 6303 30 ST SE CALGARY,Renewal Licensed,"CHARITABLE ORGANIZATION, PERSONAL SERVICE",FOOTHILLS                               
ALTAFACTS SEARCH & REGISTRY,#100 2417 51 AV SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,VALLEYFIELD                             
ALTANCE CATERING (CGY-747),#7 4215 61 AV SE CALGARY,Renewal Licensed,FOOD SERVICE - NO PREMISES,FOOTHILLS                               
ALTANCE CATERING A DIVISION OF COFFEETRUCKS.CA (CGY-582),#7 4215 61 AV SE CALGARY,Renewal Licensed,FOOD SERVICE - NO PREMISES,FOOTHILLS                               
ALTARUS SUPPLY,9168 52 ST SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, WHOLESALER",SECTION 23                              
ALTAVAC MANUFACTURING,#8 2110 41 AV NE CALGARY,Renewal Licensed,MANUFACTURER,NORTH AIRWAYS                           
ALTAWEST AUTO SALES ,102 58 AV SW CALGARY,Renewal Licensed,MOTOR VEHICLE DEALER - PREMISES,MANCHESTER                              
ALTER AIR MECHANICAL SERVICES*,#205 2835 23 ST NE CALGARY,Renewal Licensed,CONTRACTOR,SOUTH AIRWAYS                           
ALTER EGO'S HAIR COMPANY,#104 950 QUEENSLAND DR SE CALGARY,Renewal Licensed,PERSONAL SERVICE,QUEENSLAND                              
ALTERNATIVE BANKING SOLUTIONS ,#203 2526 BATTLEFORD AV SW CALGARY,Renewal Licensed,WHOLESALER,CURRIE BARRACKS
ALTERNATIVE MOBILE AUTO REPAIRS,120 ERIN GROVE CL SE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (MOBILE) (HOME BASED),ERIN WOODS
ALTERNATOR & STARTER DEPOT,#4 5710 BARLOW TR SE CALGARY,Renewal Licensed,MANUFACTURER,FOOTHILLS                               
ALTEX SECURITY SYSTEMS,#105 2060 PEGASUS RD NE CALGARY,Renewal Licensed,"ALARM AGENCY, CONTRACTOR",PEGASUS                                 
ALTIMA ELECTRIC,#131 11055 50 ST SE CALGARY,Renewal Licensed,CONTRACTOR,EAST SHEPARD INDUSTRIAL                 
ALTITUDE RESTAURANT EQUIPMENT SERVICE,#11 1216 34 AV NE CALGARY,Renewal Invoiced,ELECTRONIC REPAIR SHOP,MCCALL                                  
ALTIUS CENTRE,500 4 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,DOWNTOWN COMMERCIAL CORE                
ALTROM CANADA,1220 26 AV SE CALGARY,Renewal Licensed,WHOLESALER,ALYTH/BONNYBROOK                        
ALTRUISTIC,#A 2312 4 ST SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",MISSION                                 
ALUMA-SYSTEMS CANADA,831 48 AV SE CALGARY,Pending Renewal,"WHOLESALER, CONTRACTOR",HIGHFIELD                               
ALUMNI SPORTS,#416 555 SADDLEDOME RI SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",BELTLINE                                
ALVESTA,#11 4010R 16 ST SW CALGARY,Licensed,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),ALTADORE                                
ALWAYS 3 PIZZA & WINGS,#A 3930 32 ST NE CALGARY,Expired,FOOD SERVICE - PREMISES (SEATING),HORIZON                                 
ALYTH COLLECTABLES,#7 2808 OGDEN RD SE CALGARY,Renewal Licensed,"SECONDHAND DEALER, CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS)",ALYTH/BONNYBROOK                        
ALZAHRA FOODS,#322 3770 WESTWINDS DR NE CALGARY,Expired,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",WESTWINDS                               
AM/PM SYSTEMS,#103 5655 10 ST NE CALGARY,Renewal Licensed,WHOLESALER,SKYLINE EAST                            
AMA DRIVING SCHOOL,#727 12100 MACLEOD TR SE CALGARY,Renewal Licensed,SCHOOL (DRIVER EDUCATION),LAKE BONAVISTA                          
AMADINE BAKERY & PASTRY,#3 2610 CENTRE ST NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES,TUXEDO PARK                             
AMAJEREL HAIR DESIGN,#5 6219 CENTRE ST NW CALGARY,Renewal Licensed,PERSONAL SERVICE,THORNCLIFFE                             
AMANDA DAWLEY,#107 5403 CROWCHILD TR NW CALGARY,Renewal Licensed,PERSONAL SERVICE (INDEPENDENT CHAIR OPERATOR),VARSITY                                 
AMANI SPA,1047 19 AV SE CALGARY,Pending Renewal,BODY RUB CENTRE,RAMSAY                                  
AMAN'S BARBER SHOP,#3 10505 SOUTHPORT RD SW CALGARY,Renewal Licensed,PERSONAL SERVICE,SOUTHWOOD                               
AMANTEA ITALIAN RESTAURANT AND MARKET,1207 1 ST SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",BELTLINE                                
AMARA (THE),1822 17 ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BANKVIEW                                
AMARANTH FOURTH ST MARKET,1407 4 ST SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",BELTLINE                                
AMARANTH HEALTH & WELLNESS CENTRE,#378 5222 130 AV SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES,EAST SHEPARD INDUSTRIAL                 
AMARANTH WHOLE FOODS MARKET,7 ARBOUR LAKE DR NW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",ARBOUR LAKE                             
AMARITECH ELECTRIC & CONTROLS,4415E 58 AV SE CALGARY,Renewal Licensed,CONTRACTOR,FOOTHILLS                               
A-MART,#4 7400 MACLEOD TR SE CALGARY,Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",FAIRVIEW INDUSTRIAL                     
AMASWISS ,1409 9 AV SE CALGARY,Pending Renewal,"MANUFACTURER, RETAIL DEALER - PREMISES, SECONDHAND DEALER",INGLEWOOD                               
AMATO GELATO CAFE,#7 2104 KENSINGTON RD NW CALGARY,Renewal Licensed,"FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",WEST HILLHURST                          
AMAX AUTO BODY & REPAIR,#149 1807 60 ST SE CALGARY,Renewal Licensed,"AUTO BODY SHOP, MOTOR VEHICLE REPAIR AND SERVICE (1)",FOREST LAWN INDUSTRIAL                  
AMAX MEDICAL DENTAL SUPPLY,#D 1140 44 AV SE CALGARY,Renewal Licensed,WHOLESALER,HIGHFIELD                               
AMAZEARTS,#207 11625 ELBOW DR SW CALGARY,Renewal Licensed,SCHOOL (PROV. NOT REQUIRED),CANYON MEADOWS                          
AMAZING CAR DETAILING,1501 CENTRE B ST NW CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),CRESCENT HEIGHTS                        
AMAZING DECORATIONS,#14 2219 35 AV NE CALGARY,Renewal Invoiced,WHOLESALER,NORTH AIRWAYS                           
AMAZING HOUSEWARE,#921 999 36 ST NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,FRANKLIN                                
AMAZING HOUSEWARE,#921 999 36 ST NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,FRANKLIN                                
AMAZING NAILS,3601A 17 AV SE CALGARY,Renewal Licensed,PERSONAL SERVICE,SOUTHVIEW                               
AMAZING RIDES,212 MERIDIAN RD NE CALGARY,Pending Renewal,MOTOR VEHICLE DEALER - PREMISES,MERIDIAN                                
AMAZON SPRINGS WATER CO,#1 801 30 ST NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES,FRANKLIN                                
AMBASSADOR MOTOR INN,802 16 AV NE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, HOTEL/MOTEL, ALCOHOL BEVERAGE SALES (DRINKING ESTABLISHMENT), FOOD SERVICE - PREMISES",WINSTON HEIGHTS/MOUNTVIEW               
AMBASSADOR TOWER,630 17 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (4 OR MORE STOREYS),BELTLINE                                
AMBBER PROFESSIONAL ESTHETICS SALON AND TRAINING CENTRE,#105 301 14 ST NW CALGARY,Pending Renewal,"PERSONAL SERVICE, SCHOOL (PROV. NOT REQUIRED), BODY RUB CENTRE",HILLHURST                               
AMBER'S FINE FURNITURE,2878 32 ST NE CALGARY,Renewal Licensed,"MANUFACTURER, RETAIL DEALER - PREMISES",SUNRIDGE                                
AMBORELLA FLORAL STUDIO,#155 2515 90 AV SW CALGARY,Renewal Invoiced,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",OAKRIDGE                                
AMBROSIA FINE INDIAN CUISINE,#60 7740 18 ST SE CALGARY,Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",OGDEN                                   
AMBROSIA INTERNATIONAL,#201 100 4 AV SW CALGARY,Renewal Licensed,MASSAGE CENTRE (COMMERCIAL),DOWNTOWN COMMERCIAL CORE                
AMBROSIA JUN KANG VEGGIE RESTAURANT,1009 4 AV SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),DOWNTOWN WEST END                       
AMCANA DRILLING BITS,#4 3925 56 AV SE CALGARY,Renewal Licensed,MANUFACTURER,FOOTHILLS                               
AMEC PLACE,801 6 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,DOWNTOWN COMMERCIAL CORE                
AMEEN'S AUTO PARTS,4929 61 AV SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, WHOLESALER",FOOTHILLS                               
AMELCO ELECTRIC (CALGARY),2230 22 ST NE CALGARY,Renewal Licensed,CONTRACTOR,SOUTH AIRWAYS                           
AMERICA MARBLE & TILE,1431 KENSINGTON RD NW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, CONTRACTOR",HILLHURST                               
AMERICA UPSTAIRS CLOTHING,#A 738 17 AV SW CALGARY,Expired,RETAIL DEALER - PREMISES,BELTLINE                                
AMERICAN APPAREL,#2210 6455 MACLEOD TR SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MEADOWLARK PARK                         
AMERICAN APPAREL ,#11DB 3625 SHAGANAPPI TR NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,VARSITY                                 
AMERICAN CAMPUS COMMUNITIES SERVICES,1301 16 AV NW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (4 OR MORE STOREYS),HILLHURST                               
AMERICAN EAGLE OUTFITTERS #1009,#234 2525 36 ST NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,SUNRIDGE                                
AMERICAN EAGLE OUTFITTERS #919,#252 100 ANDERSON RD SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,WILLOW PARK                             
AMERICAN EAGLE OUTFITTERS #937,#179 6455 MACLEOD TR SW CALGARY,Pending Renewal,RETAIL DEALER - PREMISES,MEADOWLARK PARK                         
AMERICAN EAGLE OUTFITTERS #949,#24FB 3625 SHAGANAPPI TR NW CALGARY,Pending Renewal,RETAIL DEALER - PREMISES,VARSITY                                 
AMES CONSTRUCTION CANADA ULC,#138 6715 8 ST NE CALGARY,Renewal Licensed,CONTRACTOR,DEERFOOT BUSINESS CENTRE                
AMES TILE & STONE,3405 9 ST SE CALGARY,Renewal Licensed,WHOLESALER,HIGHFIELD                               
AMETHYST HAIR DESIGN,7220B FAIRMOUNT DR SE CALGARY,Licensed,PERSONAL SERVICE (INDEPENDENT CHAIR OPERATOR),FAIRVIEW                                
AMEYANA,1904 31 ST SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, MASSAGE CENTRE (COMMERCIAL), RETAIL DEALER - PREMISES",KILLARNEY/GLENGARRY                     
AMHERST,1826 17 ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BANKVIEW                                
AMIABLE SECURITY SYSTEMS & INTERCOMS,#301 4600 CROWCHILD TR NW CALGARY,Pending Renewal,ALARM AGENCY,BRENTWOOD                               
AMICA AT ASPEN WOODS,10 ASPENSHIRE DR SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",ASPEN WOODS
AMICI HAIR DESIGN,819 4 AV SW CALGARY,Expired,"PERSONAL SERVICE, MASSAGE CENTRE (COMMERCIAL)",DOWNTOWN COMMERCIAL CORE                
AMICI ITALIAN GRILL,#313 500 COUNTRY HILLS BV NE CALGARY,Pending Renewal,"TOBACCO RETAILER, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",COUNTRY HILLS VILLAGE                   
AMICO STONE SUPPLIERS,4001 11A ST SE CALGARY,Pending Renewal,"RETAIL DEALER - PREMISES, WHOLESALER",HIGHFIELD                               
AMIGO ELECTRICAL SERVICES,#145 251 MIDPARK BV SE CALGARY,Renewal Licensed,CONTRACTOR,MIDNAPORE                               
AMIN SAMOSA,#A 121 7 AV SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",DOWNTOWN COMMERCIAL CORE                
AMJ CAMPBELL,1881 120 AV NE CALGARY,Renewal Licensed,WAREHOUSING,STONEY 1                                
AMO TRUCKING,2433 51 AV SE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),VALLEYFIELD                             
AMORE (THE),3702 17 AV SW CALGARY,Expired,RETAIL DEALER - PREMISES,ROSSCARROCK                             
AMORE JEWELLERS,#710 5111 NORTHLAND DR NW CALGARY,Renewal Licensed,SECONDHAND DEALER,BRENTWOOD                               
AMOUR ENCOUNTERS,#1000 888 3 ST SW CALGARY,Licensed,DATING SERVICE OR ESCORT SERVICE,DOWNTOWN COMMERCIAL CORE                
AMPERAGE TECHNOLOGY INDUSTRIES,#3 1255 45 AV NE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),MCCALL                                  
AMRE SUPPLY CO,#101 5760 9 ST SE CALGARY,Renewal Licensed,WHOLESALER,BURNS INDUSTRIAL                        
AMRIT WATER,#505 4655 54 AV NE CALGARY,Renewal Licensed,DISTRIBUTION MANAGER,WESTWINDS                               
AMVIC SYSTEM,3839 OGDEN RD SE CALGARY,Pending Renewal,MANUFACTURER,ALYTH/BONNYBROOK                        
AMVM CONTRACTING & RESTORATION,#212 602 16 AV NW CALGARY,Renewal Licensed,CONTRACTOR,MOUNT PLEASANT                          
AMWYTHIG KENNELS,4311 GLENMORE TR SE CALGARY,Renewal Licensed,"KENNEL SERVICE/PET DEALER, RETAIL DEALER - PREMISES",SOUTH FOOTHILLS                         
