wave,q1,q2,q3a1,q10x_01,q10x_04,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Somewhat satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Not very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,(DK/NS),,,,,
2,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Not at all satisfied,,,,,
2,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
2,First time,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Somewhat satisfied,Not very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,(DK/NS),,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,First time,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Somewhat satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,First time,Other,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Not very satisfied,Not very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Not very satisfied,,,,,
2,Called in the past,To request information,Yes,Somewhat satisfied,(DK/NS),,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,Other,Yes,Very satisfied,Not applicable,,,,,
2,First time,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,Other,Yes,Somewhat satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Somewhat satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Somewhat satisfied,,,,,
2,Called in the past,To request a City service,Yes,Somewhat satisfied,Not at all satisfied,,,,,
2,Called in the past,To request a City service,Yes,Not very satisfied,Not very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Not very satisfied,Not at all satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Somewhat satisfied,,,,,
2,Called in the past,Other,Yes,Very satisfied,Not applicable,,,,,
2,First time,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Somewhat satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,First time,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,No,NA,NA,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Somewhat satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Not very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To follow up on the status of a service that you requested,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
2,First time,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,First time,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Somewhat satisfied,Very satisfied,,,,,
2,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Not very satisfied,Not at all satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
2,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Somewhat satisfied,Not applicable,,,,,
2,First time,Other,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Somewhat satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,First time,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
2,First time,To request a City service,Yes,Very satisfied,Not very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Somewhat satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Somewhat satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Not very satisfied,Not at all satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,First time,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To follow up on the status of a service that you requested,Yes,Somewhat satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Somewhat satisfied,Not very satisfied,,,,,
2,Called in the past,To request information,Yes,Somewhat satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Not at all satisfied,Not very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Somewhat satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
2,Called in the past,To request a City service,Yes,Very satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request information,Yes,Not very satisfied,Not very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,Other,Yes,Somewhat satisfied,(DK/NS),,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Somewhat satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Not applicable,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,Other,Yes,Not very satisfied,Not at all satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,First time,Other,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,Other,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,Other,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Not very satisfied,Not at all satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Somewhat satisfied,Not very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Not applicable,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,(DK/NS),Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,(DK/NS),Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,Other,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Somewhat satisfied,Not very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,First time,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,First time,To request a City service,Yes,Somewhat satisfied,Not applicable,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Not applicable,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Not very satisfied,Not very satisfied,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request a City service,Yes,Somewhat satisfied,Not at all satisfied,,,,,
3,First time,To request information,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,First time,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Not very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,First time,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,First time,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Not at all satisfied,Not at all satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Not applicable,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,Other,No,NA,NA,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Not very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request a City service,Yes,Somewhat satisfied,Not at all satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,First time,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Somewhat satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Not very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,No,NA,NA,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,First time,(DK/NS),Yes,Somewhat satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,(DK/NS),Yes,Very satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Somewhat satisfied,,,,,
3,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,Other,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,(DK/NS),,,,,
3,Called in the past,(DK/NS),Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,(DK/NS),(DK/NS),NA,NA,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Not very satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Not at all satisfied,,,,,
3,Called in the past,To request a City service,Yes,Somewhat satisfied,Not very satisfied,,,,,
3,First time,To request a City service,Yes,Very satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Not very satisfied,Not very satisfied,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
3,First time,To request information,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Not applicable,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
3,First time,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Not very satisfied,Not very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Somewhat satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Somewhat satisfied,,,,,
3,Called in the past,(DK/NS),Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,First time,To request a City service,No,NA,NA,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Somewhat satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request a City service,Yes,Not very satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Somewhat satisfied,,,,,
3,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Somewhat satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Not at all satisfied,Not at all satisfied,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Somewhat satisfied,Very satisfied,,,,,
3,Called in the past,Other,Yes,Very satisfied,Not applicable,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,Other,Yes,Not very satisfied,Somewhat satisfied,,,,,
3,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,Other,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,First time,To request a City service,Yes,Very satisfied,Not applicable,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Very satisfied,,,,,
3,Called in the past,Other,Yes,Very satisfied,Not applicable,,,,,
3,First time,To request a City service,Yes,Somewhat satisfied,Not very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,First time,Other,Yes,Somewhat satisfied,Not very satisfied,,,,,
3,Called in the past,To request information,Yes,Not at all satisfied,Not at all satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Somewhat satisfied,Not very satisfied,,,,,
3,Called in the past,Other,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Somewhat satisfied,Somewhat satisfied,,,,,
3,First time,To request a City service,No,NA,NA,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,First time,To request information,Yes,Somewhat satisfied,Very satisfied,,,,,
3,Called in the past,To request information,Yes,Very satisfied,(DK/NS),,,,,
3,Called in the past,Other,Yes,Very satisfied,Not applicable,,,,,
3,Called in the past,To request information,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To request a City service,Yes,Very satisfied,Very satisfied,,,,,
3,Called in the past,To follow up on the status of a service that you requested,Yes,Very satisfied,Very satisfied,,,,,
