District Name,School Name,Organization Type,Organization Code,StreetLocation,Latitude,Longitude,Zipcode,Phone,,,,
Learn,Learn,Regional Education Service Center School Districts,2450014,"44 Hatchetts Hill Road, Box 805
Old Lyme, CT 06371
",41.31738787900008, -72.26697634699997,6371,860-434-4800,,,,
New Milford School District,Northville Elementary School,Public Schools,960811,"22 Hipp Rd.
New Milford, CT 06776
",41.61944265600005, -73.39379302599997,6776,860-355-3713,,,,
Winchester School District,Pearson Middle School,Public Schools,1625111,"2 Wetmore Ave.
Winsted, CT 06098
",41.926703658000065, -73.06811260099994,6098,860-379-7588,,,,
Thomaston School District,Thomaston School District,Public School Districts,1400011,"158 MAIN STREET, BOX 166
Thomaston, CT 06787
",41.67291764300006, -73.07483967599995,6787,860-283-4796,,,,
Preston School District,Preston School District,Public School Districts,1140011,"56 SCHOOLHOUSE ROAD
Preston, CT 06365
",41.493918836000034, -72.03794795399995,6365,860-889-6098,,,,
Newtown School District,Newtown School District,Public School Districts,970011,"31 Pecks Lane
NEWTOWN, CT 06470
",41.38647804200008, -73.28274325099994,6470,203-426-7620,,,,
Hartford School District,M. D. Fox Elementary School,Public Schools,640811,"470 Maple Avenue
Hartford, CT 06114
",41.746015052000075, -72.68115050999995,6114,860-695-3600,,,,
Groton School District,Pleasant Valley School,Public Schools,591211,"380 Pleasant Valley Rd. South
Groton, CT 06340
",41.37640739100004, -72.07591483599998,6340,860-449-5600,,,,
New Britain School District,Slade Middle School,Public Schools,895211,"183 Steele St.
New Britian, CT 06052
",41.658667481000066, -72.80600485399998,6052,860-225-6395,,,,
Woodbridge School District,Beecher Road School,Public Schools,1670311,"40 Beecher Rd.
Woodbridge, CT 06525
",41.33715703000007, -73.00768419299999,6525,203-392-3542,,,,
Regional School District 10,Regional School District 10,Regional School Districts,2100012,"24 Lyon Road
Burlington, CT 06013
",41.78180908000007, -72.98872845899996,6013,860-673-2538,,,,
Glastonbury School District,Gideon Welles School,Public Schools,540811,"1029 Neipsic Rd.
Glastonbury, CT 06033
",41.70032830300005, -72.54759103499998,6033,860-652-7800,,,,
Guilford School District,Calvin Leete School,Public Schools,600411,"280 South Union St.
Guilford, CT 06437
",41.281971576000046, -72.66860792299997,6437,203-453-2726,,,,
Colebrook School District,Colebrook Consolidated School,Public Schools,290111,"P.O. Box 9, 452 Smith Hill Road
Colebrook, CT 06021
",42.03136917200004, -73.10520972999996,6021,860-379-2179,,,,
Stratford School District,Nichols School,Public Schools,1380911,"396 Nichols Ave.
Stratford, CT 06614
",41.20207581200003, -73.13951554099998,6614,203-385-4294,,,,
Bloomfield School District,Metacomet School,Public Schools,110511,"185 School St.
Bloomfield, CT 06002
",41.825104219000025, -72.70793184399997,6002,860-286-2660,,,,
Capitol Region Education Council,Academy of Aerospace and Engineering,Regional Education Service Center Schools,2415114,"15 Vernon St.
Hartford, CT 06106
",41.75136059600004, -72.68412373699994,6106,860-757-6347,,,,
Portland School District,Portland Middle School,Public Schools,1135111,"95 High Street
Portland, CT 06480
",41.58189828700006, -72.62478066299997,6480,860-342-1880,,,,
Fairfield School District,Mill Hill School,Public Schools,510711,"635 Mill Hill Terrace
Southport, CT 06890
",41.146334179000064, -73.28167946299999,6890,203-255-8320,,,,
Bridgeport School District,Skane Center,Public Schools,154411,"2977 North Madison Ave.
Bridgeport, CT 06606
",41.21460625100008, -73.22710337299998,6606,203-576-7181,,,,
West Haven School District,Washington School,Public Schools,1561211,"369 Washington Ave.
West Haven, CT 06516
",41.26853366600005, -72.94629862199997,6516,203-931-6880,,,,
Essex School District,Essex Elementary School,Public Schools,500111,"108 Main St.
Centerbrook, CT 06409
",41.35040444100008, -72.42062765799994,6409,860-767-8215,,,,
Regional School District 05,Amity Middle School: Orange,Regional Schools,2055212,"100 Ohman Ave.
Orange, CT 06477
",41.30098847200003, -73.00504462199996,6477,203-392-3200,,,,
Meriden School District,Roger Sherman School,Public Schools,800811,"64 North Pearl St.
Meriden, CT 06450
",41.53581465100007, -72.78248678199998,6450,203-238-1286,,,,
Waterbury School District,"Waterbury Arts Magnet School """,High),Public Schools,1516011,"16 South Elm St.
Waterbury, CT 06706
",41.55409963200003, -73.03716205499995,6706,1,,,
Tolland School District,Tolland High School,Public Schools,1426111,"1 Eagle Hill
Tolland, CT 06084
",41.87206483500006, -72.34101577799998,6084,860-870-6818,,,,
Coventry School District,George Hersey Robertson School,Public Schools,320411,"227 Cross St.
Coventry, CT 06238
",41.76101470300006, -72.31103848699996,6238,860-742-7341,,,,
New Haven School District,King/Robinson Magnet School,Public Schools,933011,"150 Fournier St.
New Haven, CT 06511
",41.33354194900005, -72.93911760199995,6511,203-691-2700,,,,
Middletown School District,Moody School,Public Schools,831211,"300 Country Club Rd.
Middletown, CT 06457
",41.562432251000075, -72.71166779499998,6457,860-347-2561,,,,
Bridgeport School District,Luis Munoz Marin School,Public Schools,151011,"479 Helen St.
Bridgeport, CT 06608
",41.19283048900007, -73.17415242799996,6608,203-576-8202,,,,
Wallingford School District,Wallingford School District,Public School Districts,1480011,"142 HOPE HILL ROAD
WALLINGFORD, CT 06492
",41.484860017000074, -72.83394349999998,6492,203-949-6500,,,,
South Windsor School District,South Windsor School District,Public School Districts,1320011,"1737 MAIN STREET
SOUTH WINDSOR, CT 06074
",41.85455769400005, -72.60606897999997,6074,860-291-1205,,,,
Stafford School District,Staffordville School,Public Schools,1340311,"P.O. Box 216, 21 Lyons Rd.
Staffordville, CT 06077
",41.99362845400003, -72.25922846899994,6077,860-684-3298,,,,
East Haven School District,Dominick H. Ferrara School,Public Schools,441311,"22 Maynard Rd.
East Haven, CT 06512
",41.33418731800003, -72.85131191799996,6512,203-468-3318,,,,
New Haven School District,Strong 21st Century Communications Magnet and SCSU Lab School,Public Schools,932811,"130 Orchard Street
New Haven, CT 06519
",41.30443070100006, -72.94260671099994,6519,203-946-8657,,,,
New Fairfield School District,New Fairfield High School,Public Schools,916111,"54 Gillotti Rd.
New Fairfield, CT 06812
",41.46125996000006, -73.49829594499994,6812,203-312-5800,,,,
Middletown School District,Wesley School,Public Schools,831411,"10 Wesleyan Hills Rd.
Middletown, CT 06457
",41.52464236800006, -72.66915138099995,6457,860-344-0381,,,,
Connecticut Technical High School System,Bullard-Havens Technical High School,CT Technical High Schools,9001116,"500 Palisade Ave.
Bridgeport, CT 06610
",41.20016568200003, -73.16502169199998,6610,203-579-6333,,,,
East Hartford School District,Hockanum School,Public Schools,430511,"191 Main St.
Durham, CT 06118
",41.73636814900004, -72.62887148499993,6118,860-622-5440,,,,
Regional School District 17,Killingworth Elementary School,Regional Schools,2170312,"P.O. Box 609
Higganum, CT 06419
",41.36416750800004, -72.57419791799998,6419,860-663-1121,,,,
Griswold School District,Griswold Alternative School,Public Schools,580111,"1553 Glasgo Road
Griswold, CT 06351
",41.57847259500005, -71.89768402199996,6351,860-376-9129,,,,
Regional School District 18,Lyme-Old Lyme High School,Regional Schools,2186112,"69 Lyme St.
Old Lyme, CT 06371
",41.32034710800008, -72.32902752799998,6371,860-434-1651,,,,
Scotland School District,Scotland School District,Public School Districts,1230011,"BOX 277, 304 PARISH HILL
Chaplin, CT 06235
",41.781896336000045, -72.12922590499994,6235,860-455-9306,,,,
Meriden School District,Francis T. Maloney High School,Public Schools,806111,"121 Gravel St.
Meriden, CT 06450
",41.53177820800005, -72.77415808899997,6450,203-238-2334,,,,
Southington School District,Plantsville Elementary School,Public Schools,1310611,"70 Church Street
Southington, CT 06479
",41.58938774400008, -72.89442400199994,6479,860-628-3450,,,,
Glastonbury School District,Buttonball Lane School,Public Schools,540211,"376 Buttonball Ln.
Glastonbury, CT 06033
",41.69010403400006, -72.59804448899996,6033,860-652-7276,,,,
Regional School District 12,Regional School District 12,Regional School Districts,2120012,"11 A School Street, Box 3
Washington Depot, CT 06794
",41.64683618500004, -73.32457602299996,6794,860-868-6100,,,,
Canterbury School District,Canterbury School District,Public School Districts,220011,"BOX 28, 45 WESTMINSTER ROAD
Canterbury, CT 06331
",41.685706605000064, -71.99821964399996,6331,860-546-6950,,,,
Regional School District 19,E. O. Smith High School,Regional Schools,2196112,"1235 Storrs Rd.
Storrs, CT 06268
",41.80270040400006, -72.24239501099999,6268,860-487-0877,,,,
New Haven School District,"Celentano BioTech, Health and Medical Magnet School",Public Schools,934811,"400 Canner Street
New Haven, CT 06511
",41.325380332000066, -72.92093917099999,6511,203-691-3400,,,,
Columbia School District,Horace W. Porter School,Public Schools,300111,"P.O. Box 166, 3 Schoolhouse Rd.
Columbia, CT 06237
",41.703716652000026, -72.30353883599997,6237,860-228-9493,,,,
Woodstock School District,Woodstock Middle School,Public Schools,1695111,"147 B-Route 169
Woodstock, CT 06281
",41.92809051000006, -71.95672688899998,6281,860-963-6575,,,,
Unified School District #1,Osborn Correctional Institution,State Agency Facilities,3361215,"P.O. Box 100
Somers, CT 06071
",41.995179621000034, -72.45312868499997,6071,860-566-7500,,,,
Greenwich School District,Greenwich School District,Public School Districts,570011,"HAVEMEYER BUILDING
GREENWICH, CT 06830
",41.04904598400003, -73.62304748599996,6830,203-625-7400,,,,
Groton School District,Charles Barnum School,Public Schools,591811,"68 Briar Hill Rd.
Groton, CT 06340
",41.38418728000005, -72.06847276799994,6340,860-449-5640,,,,
Capitol Region Education Council,Montessori Magnet School,Regional Education Service Center Schools,2413114,"1460 Broad St.
Hartford, CT 06106
",41.74952279200005, -72.68708774799995,6106,860-757-6117,,,,
Simsbury School District,Tariffville School,Public Schools,1280311,"42 Winthrop St.
Tariffville, CT 06081
",41.90976014100005, -72.76646480599999,6081,860-658-5825,,,,
Brookfield School District,Whisconier Middle School,Public Schools,185311,"17 West Whisconier Rd.
Brookfield, CT 06804
",41.441531601000065, -73.37760343999997,6804,203-775-7710,,,,
Norwich School District,Kelly Middle School,Public Schools,1045111,"25 Mahan Dr.
Norwich, CT 06360
",41.54651710500008, -72.07785606899995,6360,860-823-4211,,,,
Simsbury School District,Latimer Lane School,Public Schools,1280611,"33 Mountain View Rd.
Weatogue, CT 06089
",41.840362285000026, -72.82156054899997,6089,860-658-4774,,,,
Greenwich School District,Hamilton Avenue School,Public Schools,570511,"184 Hamilton Avenue
Greenwich, CT 06830
",41.01782018800003, -73.63952518899998,6830,203-869-1685,,,,
Somers School District,Somers School District,Public School Districts,1290011,"NINTH DISTRICT ROAD
SOMERS, CT 06071
",41.96850614600004, -72.47278219199995,6071,860-749-2270,,,,
Plainville School District,Linden Street School,Public Schools,1100211,"69 Linden St.
Plainville, CT 06062
",41.668867480000074, -72.85712929399995,6062,860-793-3270,,,,
East Hartford School District,Connecticut IB Academy,Public Schools,436311,"857 Forbes St.
East Hartford, CT 06118
",41.75284577900004, -72.60449611499996,6118,860-622-5590,,,,
Hartford School District,Noah Webster Micro Society School,Public Schools,642011,"5 Cone Street
Hartford, CT 06105
",41.76888323700007, -72.71223792199999,6105,860-695-5380,,,,
North Stonington School District,Wheeler High School,Public Schools,1026111,"298 Norwich/Westerly Rd.
North Stonington, CT 06359
",41.458536682000044, -71.88019625999993,6359,860-535-0377,,,,
Capitol Region Education Council,Ana Grace Academy of the Arts Elementary School,Regional Education Service Center Schools,2410614,"20 Security Drive
Avon, CT 06001
",41.804857921000064, -72.83534284299998,6001,860-726-9367,,,,
Madison School District,Madison School District,Public School Districts,760011,"10 Campus Drive, Drawer 71
Madison, CT 06443
",41.295727819000035, -72.57616667199994,6443,203-245-6300,,,,
Old Saybrook School District,Kathleen E. Goodwin School,Public Schools,1060211,"80 Old Boston Post Rd.
Old Saybrook, CT 06475
",41.28778953900007, -72.38144143899996,6475,860-395-3165,,,,
Hartford School District,Breakthrough II Elementary School,Public Schools,643511,"395 Lyme Street.
Hartford, CT 06120
",41.80389722700005, -72.70417560099997,6120,860-695-6050,,,,
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Public Schools,151511,"840 Old Town Road
Bridgeport, CT 06606
",41.225002188000076, -73.19087273599996,6606,203-275-3300,,,,
Danbury School District,Westside Middle School Academy,Public Schools,340311,"1 School Ridge Road
Danbury, CT 06811
",41.387678649000065, -73.48046570399998,6811,203-797-4713,,,,
Southington School District,Thalberg Elementary School,Public Schools,1310911,"145 Dunham Rd.
Southington, CT 06489
",41.64551813600008, -72.86640049599998,6489,860-628-3370,,,,
Canton School District,Canton School District,Public School Districts,230011,"4 Market Street
COLLINSVILLE, CT 06022
",41.81137719900005, -72.92304971999994,6022,860-693-7704,,,,
Redding School District,Redding School District,Public School Districts,1170011,"654 Morehouse Road
Monroe, CT 06612
",41.24876177400006, -73.29399372599994,6612,203-261-2513,,,,
Cheshire School District,Doolittle School,Public Schools,250611,"735 Cornwall Ave.
Cheshire, CT 06410
",41.49978279900006, -72.92172390799993,6410,203-272-3549,,,,
Norwalk School District,Naramake Elementary School,Public Schools,1032111,"16 King St.
Norwalk, CT 06851
",41.11929819100004, -73.39133866599997,6851,203-899-2900,,,,
Westport School District,King's Highway Elementary School,Public Schools,1580511,"125 Post Rd. West
Westport, CT 06880
",41.13709967500006, -73.36779095099996,6880,203-341-1802,,,,
Simsbury School District,Simsbury High School,Public Schools,1286111,"34 Farms Village Rd.
Simsbury, CT 06070
",41.87004802900003, -72.82257624299996,6070,860-658-0451,,,,
Berlin School District,Emma Hart Willard School,Public Schools,70411,"1088 Norton Rd.
Berlin, CT 06037
",41.61594663300008, -72.76104281799996,6037,860-828-4151,,,,
Thomaston School District,Thomaston High School,Public Schools,1406211,"185 Branch Rd.
Thomaston, CT 06787
",41.65815691000006, -73.09509006599995,6787,860-283-3030,,,,
Norfolk School District,Botelle Elementary School,Public Schools,980111,"128 Greenwoods Rd. East
Norfolk, CT 06058
",41.98830154800004, -73.18811869599995,6058,860-542-5286,,,,
Lebanon School District,Lebanon School District,Public School Districts,710011,"891 EXETER ROAD, BOX 166
Lebanon, CT 06249
",41.62716409600006, -72.23617153699996,6249,860-642-7795,,,,
Hartford School District,Breakthrough Magnet School,Public Schools,643311,"290 Brookfield Street
Hartford, CT 06106
",41.74699910100003, -72.70664820199994,6106,860-695-5700,,,,
Unified School District #1,Robinson Correctional Institution,State Agency Facilities,3361315,"P.O. Box 1400
Enfield, CT 06083
",41.99431931000004, -72.57229915099998,6083,860-763-6391,,,,
Berlin School District,Catherine M. McGee Middle School,Public Schools,75111,"899 Norton Rd.
Berlin, CT 06037
",41.61465377300004, -72.76255115499998,6037,860-828-0323,,,,
Wallingford School District,Rock Hill School,Public Schools,1480411,"911 Durham Rd.
Wallingford, CT 06492
",41.45706930100005, -72.78736007999998,6492,203-294-6260,,,,
Trailblazers Academy District,Trailblazers Academy,Public Charter Schools,2785113,"120 Bridge Street
Stamford, CT 06904
",41.06553303000004, -73.55059160199994,6904,203-977-5690,,,,
Colchester School District,Colchester School District,Public School Districts,280011,"127 Norwich Avenue, Suite 202
Colchester, CT 06415
",41.57474794900003, -72.32763736299995,6415,860-537-7267,,,,
East Hartford School District,Anna E. Norris School,Public Schools,430911,"40 Remington Rd.
East Hartford, CT 06108
",41.78489301900004, -72.63128330599994,6108,860-622-5740,,,,
Regional School District 07,Northwestern Regional Middle School,Regional Schools,2075112,"100 Battistoni Dr.
Winsted, CT 06098
",41.91440879400005, -73.04759698899994,6098,860-379-7243,,,,
Newington School District,Martin Kellogg Middle School,Public Schools,945111,"155 Harding Ave.
Newington, CT 06111
",41.709632906000024, -72.73289718199999,6111,860-666-5418,,,,
Unified School District #2,Unified School District #2,State Agencies,3470015,"505 Hudson Street
Hartford, CT 06106
",41.75689835400004, -72.67873532799996,6106,860-550-6416,,,,
Sprague School District,Sprague School District,Public School Districts,1330011,"PO BOX 693, ROUTE 97
Baltic, CT 06330
",41.64695452700005, -72.09115852599996,6330,860-822-8086,,,,
Watertown School District,Watertown School District,Public School Districts,1530011,"10 DeForest Street
Watertown, CT 06795
",41.60608178900003, -73.11855693199993,6795,860-945-4801,,,,
Plainville School District,Middle School of Plainville,Public Schools,1105211,"150 Northwest Dr.
Plainville, CT 06062
",41.684872674000076, -72.88771891899995,6062,860-793-3250,,,,
Regional School District 18,Regional School District 18,Regional School Districts,2180012,"53 Lyme Street
Old Lyme, CT 06371
",41.31927890800006, -72.32929605599998,6371,860-434-7238,,,,
Wilton School District,Miller-Driscoll School,Public Schools,1610511,"217 Wolfpit Rd.
Wilton, CT 06897
",41.176786391000064, -73.43514552699997,6897,203-762-8678,,,,
Manchester School District,Manchester School District,Public School Districts,770011,"45 NORTH SCHOOL STREET
Manchester, CT 06042
",41.79697010600006, -72.52541616599996,6042,860-647-3441,,,,
Salem School District,Salem Elementary School,Public Schools,1210111,"200 Hartford Rd.
Salem, CT 06420
",41.48769651500004, -72.27458054699997,6420,860-859-0267,,,,
East Granby School District,East Granby Middle School,Public Schools,405111,"95 South Main St.
East Granby, CT 06026
",41.95655307100003, -72.72293685799997,6026,860-653-7113,,,,
Seymour School District,Seymour High School,Public Schools,1246111,"2 Botsford Rd.
Seymour, CT 06483
",41.38207605900004, -73.09541195499997,6483,203-888-2561,,,,
Capitol Region Education Council,Museum Academy,Regional Education Service Center Schools,2410514,"10 Targeting Centre
Windsor, CT 06095
",41.851007192000054, -72.66673712299996,6095,860-231-7800,,,,
East Lyme School District,Niantic Center School,Public Schools,450211,"7 West Main St.
Niantic, CT 06357
",41.32226802400004, -72.20381085499997,6357,860-739-3961,,,,
Danbury School District,King Street Primary School,Public Schools,341311,"151 South King St.
Danbury, CT 06811
",41.42506423700007, -73.50258456199998,6811,203-797-4744,,,,
Greenwich School District,Greenwich High School,Public Schools,576111,"10 Hillside Rd.
Greenwich, CT 06830
",41.04077249000005, -73.61184737999997,6830,203-625-8000,,,,
Ridgefield School District,Ridgefield High School,Public Schools,1186111,"700 North Salem Rd.
Ridgefield, CT 06877
",41.32525546800008, -73.52840430799995,6877,203-438-3785,,,,
Cooperative Educational Services,Cooperative Educational Services,Regional Education Service Center School Districts,2430014,"40 Lindeman Drive
Trumbull, CT 06611
",41.23179028900006, -73.19822289999996,6611,203-365-8803,,,,
East Hartford School District,Silver Lane School,Public Schools,431211,"15 Mercer Ave.
East Hartford, CT 06118
",41.76011437200003, -72.63401642299993,6118,860-622-5500,,,,
Westbrook School District,Westbrook School District,Public School Districts,1540011,"105 GOODSPEED DRIVE
WESTBROOK, CT 06498
",41.28493554000005, -72.44190743099995,6498,860-399-6432,,,,
Ridgefield School District,Ridgebury Elementary School,Public Schools,1180311,"112 Bennett's Farm Rd.
Ridgefield, CT 06877
",41.33894808400004, -73.51069171399996,6877,203-438-6555,,,,
Branford School District,Branford School District,Public School Districts,140011,"1111 MAIN STREET
BRANFORD, CT 06405
",41.28305356900006, -72.81025216499995,6405,203-488-7276,,,,
Ellington School District,Center School,Public Schools,480111,"49 Main St.
Ellington, CT 06029
",41.90264562400006, -72.46451164299998,6029,860-896-2315,,,,
Unified School District #1,New Haven Correctional Center,State Agency Facilities,3360915,"245 Whalley Ave.
New Haven, CT 06530
",41.31615390300004, -72.94088157399995,6530,203-789-7111,,,,
Middletown School District,Snow School,Public Schools,831111,"299 Wadsworth St.
Middletown, CT 06457
",41.54240503300008, -72.67198689299994,6457,860-347-2579,,,,
Regional School District 15,Rochambeau Middle School,Regional Schools,2155112,"100 Peter Rd.
Southbury, CT 06488
",41.46847578500007, -73.22238173199997,6488,203-264-2711,,,,
Plainville School District,Plainville High School,Public Schools,1106111,"47 Robert Holcomb Way
Plainville, CT 06062
",41.666254105000064, -72.85803959599997,6062,860-793-3220,,,,
Stamford School District,Cloonan School,Public Schools,1355611,"11 West North St.
Stamford, CT 06902
",41.05889788300004, -73.54786347599997,6902,203-977-4544,,,,
West Haven School District,Carrigan 5/6 Intermediate School,Public Schools,1565311,"2 Tetlow St.
West Haven, CT 06516
",41.290497741000024, -72.97228534899995,6516,203-937-4390,,,,
Trumbull School District,Daniels Farm School,Public Schools,1440811,"710 Daniels Farm Rd.
Trumbull, CT 06611
",41.26942068000005, -73.20015290299995,6611,203-452-4388,,,,
Stonington School District,Deans Mill School,Public Schools,1370511,"35 Deans Mill Rd.
Stonington, CT 06378
",41.36239975900003, -71.92452710399994,6378,860-535-2235,,,,
Southington School District,Flanders Elementary School,Public Schools,1311311,"100 Victoria Dr.
Southington, CT 06489
",41.61601346500004, -72.85038383599993,6489,860-628-3372,,,,
New Haven School District,Davis 21st Century Magnet Elementary School,Public Schools,930911,"35 Davis St.
New Haven, CT 06515
",41.328375117000064, -72.97404095899998,6515,203-946-8660,,,,
Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Regional Education Service Center Schools,2445114,"1355 North Broad St.
Meriden, CT 06450
",41.55415552100004, -72.77911981499994,6450,203-639-8403,,,,
Regional School District 04,Regional School District 04,Regional School Districts,2040012,"Winthrop Road, Box 187
Deep River, CT 06417
",41.36271828800005, -72.48692619299999,6417,860-526-2417,,,,
Stamford School District,Stamford High School,Public Schools,1356111,"55 Strawberry Hill Ave.
Stamford, CT 06902
",41.06542786400007, -73.53585208999993,6902,203-977-4227,,,,
Regional School District 10,Har-Bur Middle School,Regional Schools,2105112,"26 Lyon Rd.
Burlington, CT 06013
",41.78212986900007, -72.98845600499999,6013,860-673-6163,,,,
Regional School District 01,Housatonic Valley Regional High School,Regional Schools,2016112,"246 Warren Turnpike Rd.
Falls Village, CT 06031
",41.93867286700004, -73.36161069999997,6031,860-824-5123,,,,
Farmington School District,Farmington School District,Public School Districts,520011,"One Monteith Drive
FARMINGTON, CT 06032
",41.74844765200004, -72.86839945999998,6032,860-673-8270,,,,
Groton School District,Groton School District,Public School Districts,590011,"1300 Flanders Road
Mystic, CT 06355
",41.38534178800006, -72.00586719699999,6355,860-572-2100,,,,
New Haven School District,Sound School,Public Schools,936711,"60 South Water St.
New Haven, CT 06519
",41.28204827300004, -72.92874370599998,6519,203-946-6937,,,,
Judicial Centers,SOAR,State Agency Facilities,3481215,"995 Sherman Avenue
Hamden, CT 06517
",41.39871929200007, -72.91959752499997,6517,203-508-1781,,,,
Bloomfield School District,Learning Academy at Bloomfield,Public Schools,116411,"20-28 Sargeant Street
Hartford, CT 06105
",41.77449603600007, -72.68746938199996,6105,860-761-7300,,,,
Westbrook School District,Daisy Ingraham School,Public Schools,1540211,"105 Goodspeed Dr.
Westbrook, CT 06498
",41.28493554000005, -72.44190743099995,6498,860-399-7925,,,,
East Lyme School District,Lillie B. Haynes School,Public Schools,450411,"29 Society Rd.
Niantic, CT 06357
",41.347117756000046, -72.21495238099999,6357,860-739-2922,,,,
Groton School District,Fitch Senior High School,Public Schools,596111,"101 Groton Long Point Road
Groton, CT 06340
",41.34255906900006, -72.01041534899997,6340,860-449-7200,,,,
Ansonia School District,Mead School,Public Schools,20311,"75 Ford St.
Ansonia, CT 06401
",41.33667730800005, -73.05178310899998,6401,203-736-5090,,,,
Integrated Day Charter School District,Integrated Day Charter School,Public Charter Schools,2640113,"68 Thermos Ave.
Norwich, CT 06360
",41.51111993400008, -72.07684623999995,6360,860-892-1900,,,,
Capitol Region Education Council,Glastonbury/East Hartford Magnet School,Regional Education Service Center Schools,2410114,"95 Oak Street
Glastonbury, CT 06033
",41.70795057400005, -72.59242481099994,6033,860-633-4455,,,,
Meriden School District,Lincoln Middle School,Public Schools,805211,"164 Centennial Ave.
Meriden, CT 06450
",41.53717179200004, -72.82538831799997,6450,203-238-2381,,,,
Hartford School District,M. L. King School,Public Schools,641611,"25 Ridgefield Street
Hartford, CT 06112
",41.78564548000003, -72.69603683899999,6112,860-695-3980,,,,
Southington School District,South End Elementary School,Public Schools,1310711,"10 Maxwell-Noble Drive
Plantsville, CT 06479
",41.568698469000026, -72.87791300099997,6479,860-628-3320,,,,
New Milford School District,Hill And Plain School,Public Schools,960511,"60 Old Town Park Rd.
New Milford, CT 06776
",41.53446763300008, -73.42969351899995,6776,860-354-5430,,,,
Middletown School District,Farm Hill School,Public Schools,830511,"390 Ridge Rd.
Middletown, CT 06457
",41.53875698100006, -72.64219284199999,6457,860-346-1225,,,,
Darien School District,Tokeneke Elementary School,Public Schools,350611,"7 Old Farm Rd.
Darien, CT 06820
",41.07367820200005, -73.45915275499993,6820,203-655-9666,,,,
Watertown School District,John Trumbull Primary School,Public Schools,1530211,"779 Buckingham St.
Oakville, CT 06779
",41.60667191700003, -73.09045829499996,6779,860-945-2776,,,,
Greenwich School District,North Mianus School,Public Schools,570711,"309 Palmer Hill Rd.
Riverside, CT 06878
",41.057728317000056, -73.58085445599994,6878,203-637-9730,,,,
Regional School District 12,The Burnham School,Regional Schools,2120112,"80 Main St.
Bridgewater, CT 06752
",41.53822708200005, -73.36759410599996,6752,860-354-5559,,,,
North Branford School District,North Branford School District,Public School Districts,990011,"Middletown Avenue, Box 129
Northford, CT 06472
",41.40411411300005, -72.78212474799994,6472,203-484-1440,,,,
Mansfield School District,Dorothy C. Goodwin School,Public Schools,780211,"321 Hunting Lodge Rd.
Storrs, CT 06268
",41.819318612000075, -72.28364324399996,6268,860-429-4630,,,,
East Granby School District,R. Dudley Seymour School,Public Schools,400211,"185 Hartford Ave.
East Granby, CT 06026
",41.933349573000044, -72.76858450199995,6026,860-653-7214,,,,
Greenwich School District,Central Middle School,Public Schools,575111,"9 Indian Rock Ln.
Greenwich, CT 06830
",41.03526458300007, -73.60558588099997,6830,203-661-8500,,,,
Newtown School District,Newtown High School,Public Schools,976111,"12 Berkshire Rd.
Sandy Hook, CT 06482
",41.41254879000007, -73.27211778899994,6482,203-426-7646,,,,
Montville School District,Dr. Charles E. Murphy School,Public Schools,860711,"500 Chesterfield Rd.
Oakdale, CT 06370
",41.448969774000034, -72.19676937299994,6370,860-848-9241,,,,
Enfield School District,Henry Barnard School,Public Schools,491811,"27 Shaker Rd.
Enfield, CT 06082
",42.00262194600003, -72.56286717899997,6082,860-253-6540,,,,
Regional School District 18,Center School,Regional Schools,2180312,"49 Lyme St.
Old Lyme, CT 06371
",41.31881315000004, -72.32938668099996,6371,860-434-7838,,,,
Weston School District,Weston Middle School,Public Schools,1575111,"135 School Rd.
Weston, CT 06883
",41.21162041400004, -73.38033473399997,6883,203-291-1500,,,,
New Britain School District,Smith School,Public Schools,891311,"142 Rutherford St.
New Britain, CT 06051
",41.66124382400005, -72.75808039899994,6051,860-223-1574,,,,
Stratford School District,Wilcoxson School,Public Schools,1381411,"600 Wilcoxson Ave.
Stratford, CT 06615
",41.20747729000004, -73.12273660399995,6615,203-385-4196,,,,
Fairfield School District,Fairfield Warde High School,Public Schools,516211,"755 Melville Ave.
Fairfield, CT 06825
",41.18749138100003, -73.23286649999994,6825,203-255-8449,,,,
Glastonbury School District,Naubuc School,Public Schools,540711,"82 Griswold St.
Glastonbury, CT 06033
",41.72263294900006, -72.61127729299994,6033,860-652-7918,,,,
Bridgeport School District,Hallen School,Public Schools,151211,"68 Omega Ave.
Bridgeport, CT 06606
",41.21696005700005, -73.19129041399998,6606,203-576-8216,,,,
Department of Mental Health and Addiction Services,Capitol Region Mental Health Center,State Agency Facilities,3370615,"500 Vine St.
Hartford, CT 06112
",41.79451564100003, -72.68648271699993,6112,860-262-7009,,,,
Litchfield School District,Litchfield Intermediate School,Public Schools,740311,"P.O. Box 110, 35 Plumb Hill Rd.
Litchfield, CT 06759
",41.75107721200004, -73.19627670099999,6759,860-567-7520,,,,
Capitol Region Education Council,Metropolitan Learning Center for Global and International Studies,Regional Education Service Center Schools,2416114,"1551 Blue Hills Ave.
Bloomfield, CT 06002
",41.87140057200003, -72.72465284499998,6002,860-242-7834,,,,
Waterbury School District,Washington School,Public Schools,1512311,"685 Baldwin St.
Waterbury, CT 06706
",41.543087771000046, -73.03394591599994,6706,203-574-8177,,,,
