ASSET_CD,OFF_LEASH_AREA_ID,CATEGORY,STATUS,DESCRIPTION,FENCING_INFO,PARCEL_LOCATION,STEWARD,MAINTAINED_BY,MAINT_INFO,OPENED_DT,CLOSED_DT,CLOSED_REASON,AGREEMENT_INFO,NOTES
SOV770,SOV-001,COMMUNITY CLUSTER,OPEN,SOUTHVIEW & DOVER (SLATER PARK),,2015 26 ST SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
SIL251,SIL-001,COMMUNITY CLUSTER,OPEN,SILVER SPRINGS,PARTIAL POST & CABLE FENCE ONLY; NOT FENCED ALONG SILVER SPRINGS GA NW,37 SILVER SPRINGS DR NW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
ING012,ING-003,NEIGHBOURHOOD,OPEN,INGLEWOOD (INGLEWOOD RIVER PROMENADE),,620 12 ST SE,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
ROX261,ROX-001,NEIGHBOURHOOD,OPEN,ROXBORO & PARKHILL,,300 33 AV SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
ROX263,ROX-002,COMMUNITY CLUSTER,OPEN,ROXBORO & ERLTON,,3233 2 ST SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
EDG046,EDG-004,COMMUNITY CLUSTER,OPEN,EDGEMONT,,27 EDGEDALE DR NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
ABP799,ABP-001,NEIGHBOURHOOD,PROPOSED,CONFLUENCE PARK - WEST NOSE CREEK,FULLY FENCED,300 BEDDINGTON TR NE,CALGARY PARKS,CALGARY PARKS,,,,,,AWAITING COUNCIL DOCS REGARDING APPROVAL
CHW380,CHW-002,NEIGHBOURHOOD,OPEN,CHARLESWOOD,,291 CARRAGANA CR NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
HUN632,HUN-003,NEIGHBOURHOOD,OPEN,HUNTINGTON HILLS,PARTIAL POST & CABLE FENCE ONLY; NOT FENCED ALONG BEDDINGTON BV NE,303 BEDDINGTON BV NE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
LKB457,LKB-003,COMMUNITY CLUSTER,OPEN,LAKE BONAVISTA,,1159 LAKE SYLVAN DR SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
FAI203,FAI-001,NEIGHBOURHOOD,OPEN,FAIRVIEW (FLINT ROAD SLOPE),,7510 FLINT RD SE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
TAR004,TAR-001,NEIGHBOURHOOD,OPEN,TARADEL OFF LEASH AREA - LARGE AND SMALL DOGS,FULLY FENCED WITH FENCED AREA FOR SMALL DOGS,TARINGTON PA NE,PROVINCE OF ALBERTA,CALGARY PARKS SHARED,AGREEMENT PENDING,20111026,,,,
SIL245,BPK-003,REGIONAL,OPEN,SILVER SPRINGS (BOWMONT PARK),,5520 NOSE HILL DR NW ,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
SIL245,BPK-004,REGIONAL,OPEN,SILVER SPRINGS (BOWMONT PARK),FENCED ADJACENT TRAIN TRACKS,5520 NOSE HILL DR NW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
ACA197,ACA-001,NEIGHBOURHOOD,OPEN,ACADIA COMMUNITY BUFFER,NO FENCE; SOUND WALL ON EAST BOUNDARY,900R AVONLEA PL SE,CALGARY PARKS,CALGARY PARKS,,20140414,,,,
SIG999,SIG-001,COMMUNITY CLUSTER,PROPOSED,SIGNAL HILL EAST COMMUNITY BUFFER ,NO FENCE ALONG SARCEE TR SW,SARCEE TR SW,CALGARY ROADS,CALGARY ROADS,,,,,,
SHG920,SHG-001,NEIGHBOURHOOD,OPEN,SHAGANAPPI,NO FENCE ALONG BOW TR SW,2608 14 AV SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
TUS599,TUS-001,COMMUNITY CLUSTER,OPEN,TUSCANY BUFFER & TUC ,,TUSCANY BUFFER - TUC NW CORNER,PROVINCE OF ALBERTA,CALGARY PARKS SHARED,,20120101,,,SEE RECREATIONAL LICENSE IN PARIS REPOSITORY FOR DETAILS,
SOW230,SOW-001,COMMUNITY CLUSTER,OPEN,SOUTHWOOD,PARTIAL CHAIN LINK FENCE ADJACENT 14 ST SW,1415 SOUTHLAND DR SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
BED681,BED-005,NEIGHBOURHOOD,OPEN,BEDDINGTON HEIGHTS,NO FENCE ALONG BERMUDA DR NW; REGIONAL PATHWAY,300 BERMUDA DR NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
THO569,THO-001A,COMMUNITY CLUSTER,OPEN,THORNCLIFFE & NORTH HAVEN (EGERT'S PARK),,151 THAMES CL NW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
NGM544,NGM-001,NEIGHBOURHOOD,PROPOSED,NORTH GLENMORE SOUTHWEST COMMUNITY BUFFER,FENCED ADJACENT GLENMORE TR OFF RAMP TO CROWCHILD TR SE,2434 58 AV SW,CALGARY PARKS,CALGARY PARKS,,,,,,
WGT753,WGT-001,NEIGHBOURHOOD,PROPOSED,WESTGATE ,,1404 47 ST SW,CALGARY PARKS,CALGARY PARKS,,,,,,
WSP807,WSP-001,COMMUNITY CLUSTER,PROPOSED,WEST SPRINGS SOUTH COMMUNITY BUFFER,NO FENCE ALONG BOW TR SW,BOW TR SW,CALGARY ROADS,CALGARY ROADS,,,,,,
THO569,THO-001B,COMMUNITY CLUSTER,OPEN,THORNCLIFFE & NORTH HAVEN (EGERT'S PARK),PARTIAL CHAIN LINK FENCE ADJACENT MCKNIGHT BV NW,980 48 AV NW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
ROY382,ROY-001,COMMUNITY CLUSTER,PROPOSED,ROYAL OAK,,397 ROYAL OAK CI NW,CALGARY PARKS,CALGARY PARKS,,,,,,
CIT427,CIT-001,COMMUNITY CLUSTER,PROPOSED,CITADEL,,667 CITADEL WY NW,CORPORATE PROPERTIES,CALGARY PARKS,,,,,,
MOP775,MOP-001,NEIGHBOURHOOD,PROPOSED,MOUNT PLEASANT,,615 20 AV NW,CALGARY PARKS,CALGARY PARKS,,,,,,
SOW220,SOW-002,COMMUNITY CLUSTER,OPEN,SOUTHWOOD,PARTIAL CHAIN LINK FENCE ADJACENT ANDERSON RD SW & 14 ST SW,1323 SOUTHDALE CR SW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
QPK894,QPK-001,NEIGHBOURHOOD,OPEN,QUEENS PARK VILLAGE,FULLY FENCED - CHAIN LINK,OP 1031 32  AV NW,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
WHL275,WHL-002,NEIGHBOURHOOD,PROPOSED,WEST HILLHURST,FENCED ADJACENT MEMORIAL DR NW,2155 BROWNSEA DR NW,CALGARY PARKS,CALGARY PARKS,,,,,,
BLN004,BLN-001,NEIGHBOURHOOD,OPEN,BELTLINE - CONNAUGHT PARK,FULLY FENCED,1135 14 AV SW,CALGARY PARKS,CALGARY PARKS SHARED,SEE NOTES FIELD BELOW,20160602,,,,"2016/06/13:  AS PER J JONES, PROJECT MANAGER,THE LANDSCAPE CONTRACTOR IS RESPONSIBLE FOR 2 YEAR WARRANTY ON PLANT MATERIAL BUT THE CITY OF CALGARY PARKS SHOULD MOW AND PROVIDE GARBAGE REMOVAL, TREE PRUNING, ETC."
HID638,HID-001,COMMUNITY CLUSTER,OPEN,HIDDEN VALLEY,PARTIAL POST & CABLE FENCE ONLY; NOT FENCED ALONG SHAGANAPPI TR NW OR COUNTRY HILLS BV NW,HIDDEN VALLEY DR NW @ SHAGANAPPI TR NW,CALGARY ROADS,CALGARY ROADS,,20110211,,,,
RAN158,RAN-003,NEIGHBOURHOOD,OPEN,RANCHLANDS,,655 RANCHLANDS BV NW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
MRT323,MRT-001,COMMUNITY CLUSTER,OPEN,MARTINDALE,,751 MARTINDALE BV NE,CALGARY PARKS,CALGARY PARKS,,20110801,,,,
GRV703,GRV-001,NEIGHBOURHOOD,CLOSED,GREENVIEW,,304 GODDARD AV NE,CALGARY PARKS,CALGARY PARKS,,20110211,,PUBLIC ENGAGEMENT - SEE CITY WEBSITE,,
FAL096,FAL-001,REGIONAL,OPEN,FALCONRIDGE,FULLY FENCED,FALWOOD WY NE & FALSBURY CR NE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
SIL245,BPK-002,REGIONAL,OPEN,SILVER SPRINGS (BOWMONT PARK),FULLY FENCED,5520 NOSE HILL DR NW,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
STR999,STR-001,COMMUNITY CLUSTER,OPEN,STRATHCONA PARK & CHRISTIE PARK,NO FENCE ALONG SARCEE TR SW,SARCEE TR BUFFER FOR STRATHCONA COMMUNITY,CALGARY ROADS,CALGARY PARKS SHARED,,20110211,,,,
ACA192,SOU-001,REGIONAL,OPEN,MAPLE RIDGE & ACADIA (SOUTHLAND NATURAL AREA),FENCED,9750 15 ST SE; 9800 BLACKFOOT TR SE,CALGARY PARKS,CALGARY PARKS,,20110211,,,,
SCE432,SCE-003,COMMUNITY CLUSTER,OPEN,SCENIC ACRES BUFFER - TUC LANDS,,SCENIC ACRES BUFFER,PROVINCE OF ALBERTA,CALGARY PARKS SHARED,,20110211,,,,
AUB008,AUB-001,COMMUNITY CLUSTER,OPEN,AUBURN BAY - TUC LANDS,FULLY FENCED CHAIN LINK ADJACENT TO MARQUIS DE LORNE TR SE,AUBURN BAY DOG PARK,PROVINCE OF ALBERTA,CALGARY PARKS,,20100601,,,,2014/05/22: RIGHT OF ENTRY HAS BEEN GRANTED TO ENMAX FOR PURPOSE OF SURVEY WORK & ENVIRONMENTAL OBSERVATIONS; SEE REPOSITORY LEASED FROM PROVINCE SEE REPOSITORY R:\AGREEMENTS\OFF_LEASH_AREAS_OLA\AUB008
PIN037,PIN-001,NEIGHBOURHOOD,OPEN,PINERIDGE,PARTIAL CHAIN LINK FENCE ADJACENT 16 AV NE,6015 PINECREST WY NE,CALGARY PARKS,CALGARY PARKS,,19881208,,,,
DOV899,DOV-001,REGIONAL,OPEN,DOVER,PARTIAL CHAIN LINK FENCE ADJACENT DEERFOOT TR SE,BTWN DEERFOOT TR & WID CANAL,CALGARY PARKS SHARED,CALGARY PARKS,,20110211,,,,
