nombre comercial,direccion,código postal,zona,teléfono,fax,email,web,contacto,sector,actividad1,actividad2,lat,lon
"BANESTO","PZ PUEBLO (DEL) 7","28100","OTRAS ZONAS","916586944","916586164","NO DISPONIBLE","www.banesto.es","JOAN ORNOZA","SERVICIOS","ENTIDAD BANCARIA","",40.54124917,-3.63378089
"BANKINTER","PS VALDELASFUENTES (DE) 6","28100","VALDELASFUENTES","914905087","914905096","NO DISPONIBLE","www.bankinter.com","JUAN RAMOS GARCIA LOMAS","SERVICIOS","ENTIDAD BANCARIA","",40.54907480,-3.65317233
"BANKINTER","CL CONSTITUCION (DE LA) 37","28100","Z.C. CONSTITUCION","918069050","NO DISPONIBLE","NO DISPONIBLE","www.bankinter.com","NO DISPONIBLE","SERVICIOS","BANCA","",40.54238143,-3.63655731
"BAÑOS LUYCAR","CL MARQUESA VIUDA DE ALDAMA 60","28100","LAS TIENDAS DEL CENTRO","916639229","916639229","luycar_alcobendas@hotmail.com","NO DISPONIBLE","LUIS TABARES","CONSTRUCCION Y REFORMA","VENTA MENOR DE SANEAMIENTOS","",40.54286875,-3.62998552
"BAR 5 ESQUINAS","CL JULIAN BAENA CASTRO (DE) 8","28100","LAS TIENDAS DEL CENTRO","608767684","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","CAMARERA FANY BEATRIZ","HOSTELERIA / OCIO","HOSTELERIA","",40.53918176,-3.63561576
"BAR ALBA","TR SEVILLA (DE) 2","28100","LAS TIENDAS DEL CENTRO","916620942","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ALBINO DIAZ","HOSTELERIA / OCIO","BAR, CASA DE COMIDAS","",40.53907402,-3.63652710
"BAR ALCALA","CL CONSTITUCION (DE LA) 85","28100","Z.C. CONSTITUCION","916540254","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JOSE ANGEL TARRIO DOMINGUEZ","HOSTELERIA / OCIO","HOSTELERIA-BAR","",40.54446194,-3.64089365
"BAR ALMUÑECAR","CL TOMAS RODRIGUEZ PUERTAS ( 17","28100","OTRAS ZONAS","916534580/916515415","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JOSE LOPEZ VERGARA","HOSTELERIA / OCIO","BAR","",40.54267885,-3.63385476
"BAR BARBARA","CL FUEGO (DEL) 50","28100","Z.C. CONSTITUCION","916512246","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","PEDRO CARRERO DIAZ","HOSTELERIA / OCIO","BAR","",40.54559329,-3.63525340
"BAR BODEGA HERIBERTO","CL GERONA (DE) 1","28100","OTRAS ZONAS","916538908","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","HERIBERTO GARCIA GUARDADO","HOSTELERIA / OCIO","HOSTELERIA VENTA DE BEBIDAS","",40.54142336,-3.62910997
"BAR BUENOS AIRES","CL FRANCISCO BAENA VALDEMORO 20","28100","OTRAS ZONAS","916543212","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JULIO ANGULO","HOSTELERIA / OCIO","BAR","",40.54441381,-3.63666360
"BAR CAFETERIA","CL RUPERTO CHAPI (DE) 57","28100","EJE VALDAVIA ESPAÑA","916547970 / 616682779","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","MARIANO MARTIN SASTRE","HOSTELERIA / OCIO","BAR CAFETERIA","",40.54857760,-3.63971968
"BAR CAFETERIA ROSELLA","CL MANUEL DE FALLA (DE) 89","28100","OTRAS ZONAS","916538139","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","FRANCISCO PLAZA ALONSO","HOSTELERIA / OCIO","RESTAURANTE DE COMIDAS Y RACIONES","",40.55367009,-3.64067294
"BAR CORY","CL MANUEL SERRANO FRUTOS (DE 6","28100","Z.C. CONSTITUCION","912290478 / 639081670","NO DISPONIBLE","cora_ssce@hotmail.com","NO DISPONIBLE","CORAZON VENANCIO LACIO","HOSTELERIA / OCIO","BAR","",40.54477144,-3.64231256
"BAR COSTA DEL SOL","CL LIBERTAD (DE LA) 44","28100","LAS TIENDAS DEL CENTRO","916619157/666354648","NO DISPONIBLE","crtrivi@hotmail.com","NO DISPONIBLE","CARMEN RUIZ TRIVIÑO","HOSTELERIA / OCIO","BAR","",40.53861575,-3.63646096
"BAR CUESTA","CL LIBERTAD (DE LA) 49","28100","LAS TIENDAS DEL CENTRO","916611854","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","MOISES CUESTA","HOSTELERIA / OCIO","HOSTELERIA","",40.53931391,-3.63623068
"BAR DE PINTXOS","CL MARQUES DE LA VALDAVIA (D 60","28100","EJE VALDAVIA ESPAÑA","649446049","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ANUNCIACION FLORES ANTOLIN","HOSTELERIA / OCIO","BAR","",40.54335291,-3.63991100
"BAR DEL RIO","CL MARQUES DE LA VALDAVIA (D 88","28100","EJE VALDAVIA ESPAÑA","610108392","NO DISPONIBLE","jorgecortes000@hotmail.com","NO DISPONIBLE","JORGE CORTES","HOSTELERIA / OCIO","BAR-CAFETERIA","",40.54550101,-3.64438664
"BAR EL 104","CL CONSTITUCION (DE LA) 104","28100","Z.C. CONSTITUCION","912291329","NO DISPONIBLE","el-104@hotmail.com","NO DISPONIBLE","CARLOS ARA","HOSTELERIA / OCIO","BAR-CAFETERIA ASADOR DE POLLOS","",40.54677117,-3.64428498
"BAR EL PARAISO","CL MARQUES DE LA VALDAVIA (D 27","28100","EJE VALDAVIA ESPAÑA","916620655","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","Mª LUISA ABRIL","HOSTELERIA / OCIO","BAR Y DESPACHO DE LOTERIAS","",40.54206671,-3.63829205
"BAR EL PERULERO","PS CHOPERA (DE LA) 313 - LOCAL 8, POSTERIOR","28100","EJE CHOPERA","916619445","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JESUS RODRIGUEZ-REY CAMARGO","HOSTELERIA / OCIO","BAR","",40.54501020,-3.65914485
"BAR EL PINO","CL CONSTITUCION (DE LA) 104","28100","Z.C. CONSTITUCION","912291055","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","CARO NORIEGA, MARIA TERESA","HOSTELERIA / OCIO","BAR","",40.54677117,-3.64428498
"BAR EL PORCHE","CL SALAMANCA (DE) 29","28100","LAS TIENDAS DEL CENTRO","916512261","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","PASCUAL OMEGA, NATIVIDAD","HOSTELERIA / OCIO","HOSTELERIA","",40.54230392,-3.62939286
"BAR EL ROSAL","CL CONSTITUCION (DE LA) 114","28100","Z.C. CONSTITUCION","916511088","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","EMILIO ESCRIBANO","HOSTELERIA / OCIO","BAR","",40.54797212,-3.64570780
"BAR FELI","CL CONSTITUCION (DE LA) 92","28100","Z.C. CONSTITUCION","916531818","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","FELICEDAD","HOSTELERIA / OCIO","BAR","",40.54518491,-3.64151688
"BAR FRESNO","CL PINTOR MURILLO (DEL) 11","28100","OTRAS ZONAS","916619657","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JAVIER FRESNO MARTINEZ","HOSTELERIA / OCIO","BAR","",40.53879883,-3.64015269
"BAR HARRELSON","CL MARQUES DE LA VALDAVIA (D 71","28100","EJE VALDAVIA ESPAÑA","916617657 / 660473468","NO DISPONIBLE","harrelson@ono.com","NO DISPONIBLE","GENEROSO INGELMO GONZALEZ","HOSTELERIA / OCIO","BAR HOSTELERIA","",40.54446345,-3.64292491
"BAR HERMANOS IGLESIAS","CL CONSTITUCION (DE LA) 84","28100","Z.C. CONSTITUCION","916527158","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JULIA ORTIZ","HOSTELERIA / OCIO","BAR","",40.54444288,-3.64008307
"BAR INTERNACIONAL","CL RUPERTO CHAPI (DE) 16","28100","EJE VALDAVIA ESPAÑA","916512295","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ENRIQUE MACIAS GONZALEZ","HOSTELERIA / OCIO","DESAYUNOS, MERIENDAS Y RACIONES","",40.54793047,-3.64445745
"BAR JUSA","CL FUEGO (DEL) 48","28100","Z.C. CONSTITUCION","916516712","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JUAN MANUEL MARTIN","HOSTELERIA / OCIO","HOSTELERIA - CAFETERIA","",40.54530337,-3.63524525
"BAR KYNY","CL SANTIAGO APOSTOL (DE) 6","28100","LAS TIENDAS DEL CENTRO","916526725","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","HOSTELERIA / OCIO","BAR-FREIDURIA. ESPECIALIDAD EN GALLINEJAS Y FRITURAS VARIADAS","",40.54278923,-3.63098163
"BAR KYNY","CL SANTIAGO APOSTOL (DE) 6","28100","LAS TIENDAS DEL CENTRO","916526725","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","INMACULADA LEON","HOSTELERIA / OCIO","BAR","",40.54278923,-3.63098163
"BAR LA CUNETA","CL MARQUESA VIUDA DE ALDAMA 25","28100","LAS TIENDAS DEL CENTRO","916524247 / 916519210","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","AMPARO ANGEL RINCON","HOSTELERIA / OCIO","BAR, CAFETERIA","",40.54174869,-3.63145871
"BAR LA GIRALDA","CL SALAMANCA (DE) 27","28100","LAS TIENDAS DEL CENTRO","912417204","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JUAN MARIA RODRIGUEZ","HOSTELERIA / OCIO","BAR","",40.54211238,-3.62960326
"BAR LA MADREÑA","CL TERUEL (DE) 6","28100","OTRAS ZONAS","916546948","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JUAN CARLOS PORRAS","HOSTELERIA / OCIO","BAR-MESON","",40.54311742,-3.62919913
"BAR LA MINA","CL SORIA (DE) 30","28100","OTRAS ZONAS","917112618","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","HOSTELERIA / OCIO","BAR DE COPAS","",40.53923205,-3.63303775
"BAR LA MURALLA","CL MANUEL DE FALLA (DE) 48","28100","OTRAS ZONAS","916537597 / 916620352","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ANTONIO LAZARO","HOSTELERIA / OCIO","BAR","",40.55212205,-3.64323995
"BAR LA PARADA","CL CONSTITUCION (DE LA) 101","28100","Z.C. CONSTITUCION","916518304","912291425","hernandosancho@hotmail.com","NO DISPONIBLE","IGNACIO HERNANDO","HOSTELERIA / OCIO","BAR","",40.54527040,-3.64247685
"BAR LA PARRILLA","CL ISABEL ROSILLO (DE) 7","28100","Z.C. CONSTITUCION","916529281","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","LORENZO RIEGO BELOQUI","HOSTELERIA / OCIO","BAR CON SERVICIO DE TAPAS DE COCINA","",40.54288780,-3.63597001
"BAR LA POSADA","CL CAPITAN FRANCISCO SANCHEZ 5","28100","LAS TIENDAS DEL CENTRO","916238665 / 653928367","NO DISPONIBLE","ajlaposada74@hotmail.com","NO DISPONIBLE","ALBERTO RUANO RIEGO","HOSTELERIA / OCIO","BAR CAFETERIA","",40.54078747,-3.63349185
"BAR LA SIERRA","CL OLIVAR (DEL) 13","28100","EJE VALDAVIA ESPAÑA","912293360","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","REZA ABESTAKH, HAMID","HOSTELERIA / OCIO","MESON, TAPAS VARIADAS, RESTAURANTE","",40.54840508,-3.64886526
"BAR LOS CHOPIS","CL DOS DE MAYO (DEL) 13","28100","EJE VALDAVIA ESPAÑA","912939420","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","HIPOLITA GIMENEZ GARDE","HOSTELERIA / OCIO","BAR","",40.54344146,-3.64212555
"BAR LUCARI","CL OLIVAR (DEL) 13","28100","EJE VALDAVIA ESPAÑA","916537649","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ANGEL NUÑEZ CARRERA","HOSTELERIA / OCIO","BAR","",40.54840508,-3.64886526
"BAR MARTIN","CL MARQUESA VIUDA DE ALDAMA 33","28100","LAS TIENDAS DEL CENTRO","912290446","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ANGEL GONZALEZ MENENDEZ","HOSTELERIA / OCIO","CERVECERIA, RACIONES, DESAYUNOS","",40.54209775,-3.63109597
"BAR MAYPE","CL RAMIRO GOMEZ GARIBAY (DE) 13","28100","OTRAS ZONAS","916541746","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","Mª SOLEDAD BLAZQUEZ PULIDO","HOSTELERIA / OCIO","BAR-CERVECERIA","",40.54277680,-3.63171102
"BAR PIVE","CL NUESTRA SRA DEL PILAR (DE 30","28100","OTRAS ZONAS","629878929","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JUAN ANDRES","HOSTELERIA / OCIO","BAR","",40.54355164,-3.63200126
"BAR PORTOMARIN","CL MARQUES DE LA VALDAVIA (D 2","28100","EJE VALDAVIA ESPAÑA","627678737","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","MANUEL RODRIGUEZ VAZQUEZ","HOSTELERIA / OCIO","BAR-RESTAURANTE","",40.54600478,-3.65094166
"BAR QUEVEDO","CL CONSTITUCION (DE LA) 64 - BAJO","28100","Z.C. CONSTITUCION","916239745","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","LUIS MATARRUBIA FERNANDEZ","HOSTELERIA / OCIO","BAR","",40.54345156,-3.63820331
"BAR RESTAURANTE ALCALA","BL SALVADOR ALLENDE (DE) 17","28100","OTRAS ZONAS","916520142","NO DISPONIBLE","barrestaurantealcala@gmail.com","NO DISPONIBLE","JUAN CARLOS ROALES","HOSTELERIA / OCIO","BAR","",40.53771313,-3.63275828
"BAR RESTAURANTE CORBAYO","AV CAMILO JOSE CELA (DE) 6 - ESQUINA JUAN RAMON JIMENEZ","28100","OTRAS ZONAS","912939138 / 600544640","NO DISPONIBLE","ivassa@hotmail.com","NO DISPONIBLE","IVAN VASSALLO DONAYRE","HOSTELERIA / OCIO","BAR RESTAURANTE, MENU CASERO","",40.54655796,-3.65725423
"BAR RESTAURANTE EL ABETO","CL CEUTA (DE) 30","28100","OTRAS ZONAS","916617567","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ANGEL FERNANDEZ GONZALEZ","HOSTELERIA / OCIO","BAR-RESTAURANTE. MENU DIARIO","",40.53923396,-3.63822775
"BAR RESTAURANTE ESCORPION","PJ RADIO (DE LA) 4","28100","LAS TIENDAS DEL CENTRO","686292168","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","LUZ ENITH CASTILLO CARVAJAL","HOSTELERIA / OCIO","CAFETERIA, RESTAURANTE","",40.54129592,-3.63093764
"BAR RESTAURANTE FUENTELUCHA","PS VALDELASFUENTES (DE) 9","28100","VALDELASFUENTES","916625953","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","FCO. JAVIER MARTINEZ MONTERO","HOSTELERIA / OCIO","BAR RESTAURANTE","",40.55126463,-3.65392793
"BAR RESTAURANTE L'SAGASA","PS VALDELASFUENTES (DE) 5","28100","VALDELASFUENTES","916620352","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ANTONIO LAZARO","HOSTELERIA / OCIO","BAR-RESTAURANTE","",40.54982660,-3.65401032
"BAR RESTAURANTE RIAZOR","PS CHOPERA (DE LA) 90","28100","EJE CHOPERA","916572737 / 646646200 / 659513655","NO DISPONIBLE","carmamillion@hotmail.com","NO DISPONIBLE","GLORIA MONTERO / CARMEN MATESANZ","HOSTELERIA / OCIO","BAR RESTAURANTE","",40.54317484,-3.64318405
"BAR RETOR","PZ ENCINA (DE LA) 9","28100","OTRAS ZONAS","912293062","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","SERAFIN SANCHEZ","HOSTELERIA / OCIO","BAR, CAFE","",40.54695089,-3.64003160
"BAR RISAN","CL ISLAS BIKINI (DE LAS) 29","28100","EJE VALDAVIA ESPAÑA","679246581","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ESTHER ETALAYO","HOSTELERIA / OCIO","BAR","",40.54139388,-3.64033485
"BAR SANABRIA","CL SORIA (DE) 39","28100","OTRAS ZONAS","916539826","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","HOSTELERIA / OCIO","BAR","",40.53900050,-3.63276680
"BAR TERMINO","CL LEON XIII (DE) 22","28100","OTRAS ZONAS","607839161","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JUAN CARLOS AGRANZ SANCHEZ","HOSTELERIA / OCIO","BAR","",40.55084259,-3.64420399
"BAR ZAMUDIO","PS CHOPERA (DE LA) 83","28100","EJE CHOPERA","914903160 /  639031568","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JOSE ZAMUDIO GUTIERREZ","HOSTELERIA / OCIO","BAR","",40.54394574,-3.64606496
"BARCELO VIAJES","CL LIBERTAD (DE LA) 9","28100","LAS TIENDAS DEL CENTRO","916532199","916537706","joalcobendas@barceloviajes.com","www.barceloviajes.com","HONORIO SIMON","SERVICIOS","AGENCIA DE VIAJES","",40.54063936,-3.63416969
"BARCELO VIAJES","AV CAMILO JOSE CELA (DE) 16","28100","OTRAS ZONAS","916629536","916618134","joalcobendas@barceloviajes.com","www.barceloviajes.com","NOELIA CABALLERO","SERVICIOS","AGENCIA DE VIAJES","",40.54477147,-3.65738238
"BARON JOYEROS","CL CONSTITUCION (DE LA) 44","28100","Z.C. CONSTITUCION","916593932","NO DISPONIBLE","baronjoyeros@hotmail.com","NO DISPONIBLE","JOSE MARIA GONZALEZ PEINADO","MODA Y COMPLEMENTOS","JOYERIA Y RELOJERIA","",40.54283468,-3.63702101
"BARRANCO & ALFARO, S.L.","CL SEGURA (DEL) 22","28100","OTRAS ZONAS","916527501 / 636616515","NO DISPONIBLE","barranco.alfaro@agentes.catalanaoccidente.com","www.barrancoyalfaroseguros.es","GONZALO A. BARRANCO ALFARO","SERVICIOS","AGENCIA DE SEGUROS, ASOCIADA A CATALANA OCCIDENTE","",40.54431930,-3.63850631
"BAZAR DE TODO 100","CL SANTIAGO APOSTOL (DE) 13","28100","LAS TIENDAS DEL CENTRO","654238659","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JIANGUO","HOGAR","BAZAR","",40.54317128,-3.63189070
"BB SERVICIES","AV ESPAÑA (DE) 3","28100","EJE VALDAVIA ESPAÑA","916586443 / 667632353","916586520","alcobendas@bbservesis.com","www.bbservicies.es","ISABEL MORA","VARIOS","EMPRESA DE SERVICIOS: LIMPIEZA, CONSERJES","",40.54541831,-3.64326489
"BBK","PS CHOPERA (DE LA) 158","28100","EJE CHOPERA","912616900","912616903","NO DISPONIBLE","www.bbk.es","PABLO APARICIO","SERVICIOS","CAJA DE AHORROS","",40.54544866,-3.65511565
"BBVA","PS CHOPERA (DE LA) 109","28100","EJE CHOPERA","916615577","916614321","NO DISPONIBLE","NO DISPONIBLE","JOSE MIGUEL ORTIZ","SERVICIOS","BANCA","",40.54465502,-3.65027371
"BEATRIZ NOVIAS","CL CONSTITUCION (DE LA) 80","28100","Z.C. CONSTITUCION","916525464","916516698","noelianovias@yahoo.es","NO DISPONIBLE","Mª DEL CARMEN MARTIN RAMIREZ","MODA Y COMPLEMENTOS","OUTLET TRAJES DE NOVIOS Y COMPLEMENTOS NOVIAS Y FIESTA","",40.54453753,-3.64030398
"BEAUTY","CL CADIZ (DE) 32","28100","EJE VALDAVIA ESPAÑA","916622335","916622006","asesoresbeauty@hotmail.com","NO DISPONIBLE","CONCEPCION LOPEZ CAMARA","VARIOS","COMERCIO AL POR MAYOR DE PRODUCTOS DE PERFUMERIA","",40.54187417,-3.64104382
"BEAUTY&CUT","CL MANUEL DE FALLA (DE) 91","28100","OTRAS ZONAS","619004444","NO DISPONIBLE","mikel78@hotamil.es","NO DISPONIBLE","MIGUEL GARCIA CRUZADO","SALUD Y BELLEZA","PELUQUERIA, SERVICIOS DE ESTETICA","",40.55391478,-3.64049255
"BEBITOS","CL PABLO PICASSO (DE) 66","28100","Z.C. CONSTITUCION","916516282","NO DISPONIBLE","modabebitos@hotmail.com","NO DISPONIBLE","PALOMA JUSDADO/ANGELA MUÑOZ","MODA Y COMPLEMENTOS","ROPA DE BEBE Y COMPLEMENTOS","",40.54284812,-3.63803724
"BELLA NATURA","CL CONCILIO (DEL) 17 - LOCAL 3","28100","OTRAS ZONAS","916283152 / 916590042","NO DISPONIBLE","pupicollino@hotmail.com","NO DISPONIBLE","ANA MARIA COLLINO","MODA Y COMPLEMENTOS","COSMETICA NATURAL JABONES AL CORTE","",40.54356634,-3.63724860
"BELLEZA CAROL","CL PABLO PICASSO (DE) 66","28100","Z.C. CONSTITUCION","916523194","NO DISPONIBLE","conchita.oleole@hotmail.com","NO DISPONIBLE","CONCEPCION FERNANDEZ GOMEZ-REY","SALUD Y BELLEZA","PELUQUERIA DE SEÑORAS","",40.54284812,-3.63803724
"BENBLAN","CL VALLADOLID (DE) 28","28100","OTRAS ZONAS","916638361 / 666727075","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ENRIQUE BENITO BLANCO","VARIOS","GESTOR RESIDUOS PLASTICOS, METALICOS, ELECTRICOS, ELECTRONICOS","",40.54336341,-3.63344644
"BEONPLAY","AV MADRID (DE) 35","28100","OTRAS ZONAS","916545437","NO DISPONIBLE","info@gamesoft.es","www.gamesoft.es","NO DISPONIBLE","SERVICIOS","INFORMATICA Y SERVICIO TECNICO INTEGRAL DE ELECTRONICA E INFORMATICA PARA CONSOLAS, VIDEOJUEGOS, ORDENADORES, TABLET & SMARTPHONE","",40.55056836,-3.63870772
"BEONPLAY & GAMESOFT","AV MADRID (DE) 35","28100","OTRAS ZONAS","916545437","NO DISPONIBLE","eduardo@gamesoft.es","NO DISPONIBLE","EDUARDO LOO","HOSTELERIA / OCIO","PREPARACION DE VIDEO JUEGOS Y CONSOLAS","",40.55056836,-3.63870772
"BERMEJO CARRASCO ADMINISTRACION DE FINCAS","CL RAMON Y CAJAL (DE) 5","28100","OTRAS ZONAS","916610604","NO DISPONIBLE","sbrfincas@sbrfincas.es","NO DISPONIBLE","SILVIA BERMEJO","SERVICIOS","ADMISNTRACION DE FINCAS","",40.54250148,-3.65225970
"BERNARDO GUADALIX","CL LIBERTAD (DE LA) 36","28100","LAS TIENDAS DEL CENTRO","916621384","916621384","NO DISPONIBLE","NO DISPONIBLE","JUAN GUADALIX","CONSTRUCCION Y REFORMA","ALMACEN DE MATERIALES DE CONSTRUCCION- AZULEJOS Y PAVIMENTOS- CONTENEDORES","",40.53936057,-3.63648415
"BERZOSA & SANCHEZ ABOGADOS","CL SUEÑOS (DE LOS) 14","28100","OTRAS ZONAS","618274073","NO DISPONIBLE","eva.berzosa.clavijo@gmail.com","NO DISPONIBLE","EVA MARIA BERZOSA CLAVIJO","SERVICIOS","ABOGADOS","",40.55156663,-3.65907354
"BEST CONTROL SERVICE","CL MARQUES DE LA VALDAVIA (D 8","28100","EJE VALDAVIA ESPAÑA","913035604","NO DISPONIBLE","enrique.aguilar@bestcontrolservice.es","www.bestcontrolservice.es","ENRIQUE AGUILAR","SERVICIOS","SERVICIOS INTEGRALES A COMUNIDADES","",40.54049440,-3.63636525
"BICICLETAS COSME","AV CAMILO JOSE CELA (DE) 34","28100","OTRAS ZONAS","916617200","916617200","bicicletascosme@gmail.com","NO DISPONIBLE","ANGEL LUIS DIAZ","HOSTELERIA / OCIO","BICICLETAS Y ACCESORIOS","",40.54137912,-3.65948086
"BICOCA","CL OLIVAR (DEL) 10","28100","EJE VALDAVIA ESPAÑA","660384664","NO DISPONIBLE","sagrariominguez@hotmail.com","www.bicocas.es","CECILIA S.MINGUEZ LÓPEZ","VARIOS","TALLER PINTURA, MANUALIDADES Y ARTESANÍA","",40.54834181,-3.64849334
"BICOLAN ETT","AV ESPAÑA (DE) 23","28100","EJE VALDAVIA ESPAÑA","651706242","NO DISPONIBLE","maite-santibanez@bicolan.com","NO DISPONIBLE","LAURA GASKUE","VARIOS","EMPRESA DE TRABAJO TEMPORAL, SERVICIO DE SELECCIÓN Y CONTRATACION","",40.54813911,-3.63826729
"BIOTHECARE ESTETICA","CL JACINTO BENAVENTE (DE) 21","28100","EJE CHOPERA","912296989/647610627","NO DISPONIBLE","alcobendas@biothecareestetica.com","NO DISPONIBLE","RAQUEL ALAMO","SALUD Y BELLEZA","SERVICIOS ESTETICA","",40.54503066,-3.64712677
"BLOCK & CLIPS","CL CONSTITUCION (DE LA) 50","28100","Z.C. CONSTITUCION","916638462","NO DISPONIBLE","blockyclips@hotmail.com","NO DISPONIBLE","JORGE MARTIN","HOSTELERIA / OCIO","PRENSA, PAPELERIA","",40.54305815,-3.63739669
"BODEGAS BELEN","CL CONSTITUCION (DE LA) 119","28100","Z.C. CONSTITUCION","916516625","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ISABEL VELASCO","ALIMENTACION","ALIMENTACION, PANADERIA, BOLLERIA, AUTOSERVICIO, PRENSA Y CHUCHERIAS, ETC","",40.54683923,-3.64497823
"BODEGAS CONTRERAS","CL PABLO PICASSO (DE) 8","28100","Z.C. CONSTITUCION","916519840","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","MARILUZ GIL GIL","HOSTELERIA / OCIO","BODEGA DE VINOS","",40.54066490,-3.63501763
"BODYBELL","CL CONSTITUCION (DE LA) 39","28100","Z.C. CONSTITUCION","916529230","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JOSE PRIETO","MODA Y COMPLEMENTOS","DROGUERIA, PERFUMERIA","",40.54247902,-3.63672071
"BODYBELL","AV ESPAÑA (DE) 14 - LOCAL B 9","28100","EJE VALDAVIA ESPAÑA","916638484","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","VICTOR SANCHEZ","MODA Y COMPLEMENTOS","COSMETICOS Y PERFUMERIA","",40.54509897,-3.64276974
"BOENSA ASESORIA JURIDICA","CL SANTIAGO APOSTOL (DE) 14","28100","LAS TIENDAS DEL CENTRO","916517797","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","MANOLO","SERVICIOS","ASESORIA JURIDICA","",40.54323740,-3.63170954
"BOLSOS JOSE DIEZ","CL MARQUES DE LA VALDAVIA (D 10","28100","EJE VALDAVIA ESPAÑA","916539639","NO DISPONIBLE","bolsosjdiez@hotmail.com","NO DISPONIBLE","JOSE MARIA DIEZ ANTOLIN","MODA Y COMPLEMENTOS","TALLER ARTESANIA, FABRICACION Y VENTA ARTICULOS DE PIEL","",40.54049440,-3.63636525
"BOLSOS LONSAC","CL MARQUESA VIUDA DE ALDAMA 5","28100","LAS TIENDAS DEL CENTRO","916533157","NO DISPONIBLE","jldecos@hotmail.com","NO DISPONIBLE","Mª JOSE MUÑOZ PANTOJA","MODA Y COMPLEMENTOS","ZAPATOS COMPLEMENTOS-VIAJE, ZAPATO SEÑORA Y NIÑO","",40.54118117,-3.63331383
"BOLSOS MONTESINOS","CL MARQUESA VIUDA DE ALDAMA 76","28100","LAS TIENDAS DEL CENTRO","916540966","NO DISPONIBLE","bolsosmontesinos@wanadoo.es","NO DISPONIBLE","CARLOS MONTESINOS","MODA Y COMPLEMENTOS","BOLSOS","",40.54361604,-3.62919557
